commune,latitude,longitude,new,population
Bisoro,-3.63,29.7,no,34175
Bubanza,-3.083333,29.4,no,83678
Bugabira,-2.436824,30.034087,no,89259
Buganda,-2.97,29.19,no,69045
Bugarama,,,2004,30482
Bugendana,-3.25,29.9,no,108387
Bugenyuzi,-3.09,30.06,no,81938
Buhiga,-3.04,30.17,no,71474
Buhinyuza,-3.03,30.36,no,54482
Bukemba,-4,30.05,no,35471
Bukeye,-3.19,29.64,no,66090
Bukinanyana,-2.88,29.34,no,75750
Bukirasazi,-3.68,29.97,no,32714
Burambi,-3.8,29.45,no,57167
Buraza,-3.75,29.91,no,47485
Bururi,-3.95,29.616667,no,83614
Busiga,-2.85,29.74,no,65143
Busoni,-2.53,30.22,no,145424
Butaganzwa,-3.57,30.14,no,51601
Butaganzwa,-3.1,29.72,no,63186
Buterere,,,2004,28371
Butezi,-3.4,30.15,no,39178
Butihinda,-2.718,30.318556,no,96890
Buyengero,-3.82,29.54,no,58670
Buyenzi,,,2004,47363
Bwambarangwe,-2.58,30.33,no,66816
Bweru,-3.36,30.43,no,37502
Bwiza,,,2004,37688
Cankuzo,-3.219444,30.552778,no,47972
Cendajuru,-3.31,30.59,no,32458
Cibitoke,,,2004,50899
Gahombo,-2.97498,29.7380036,no,39633
Gashikanwa,-2.91,29.91,no,57086
Gashoho,-2.8,30.13,no,66107
Gasorwe,-2.85,30.22,no,81998
Gatara,-3,29.66,no,64112
Gihanga,-3.194722,29.295278,no,55344
Giharo,-3.78,30.23,no,93365
Giheta,-3.36,29.86,no,73017
Gihogazi,-3.11,30,no,67627
Gihosha,,,2004,39503
Gisagara,-3.19,30.8,no,57322
Gishubi,-3.62,29.86,no,55927
Gisozi,-3.566667,29.683333,no,27954
Gisuru,-3.45,30.516667,no,99461
Gitanga,-3.99,29.92,no,43727
Gitaramuka,-2.98,30.17,no,78120
Gitega,-3.4295168,29.9267798,no,155005
Giteranyi,-2.48,30.46,no,151230
Gitobe,-2.65,30.2,no,57326
Isale,-3.35,29.48,no,78740
Itaba,-3.66,30.01,no,51139
Kabarore,,,no,62303
Kabezi,-3.54,29.35,no,49079
Kamenge,,,2004,50070
Kanyosha,,,2004,59181
Kanyosha,-3.41,29.41,no,78823
Kayanza,-2.916667,29.616667,no,97252
Kayogoro,-4.1175,29.944,no,88552
Kayokwe,-3.53,29.74,no,49127
Kibago,-4.3,29.85,no,44978
Kigamba,-3.08,30.53,no,40773
Kiganda,-3.3430763,29.6872557,no,48730
Kinama,,,2004,49776
Kinindo,,,2004,21920
Kinyinya,-3.65,30.35,no,53038
Kiremba,-2.83,29.98,no,93336
Kirundo,-2.59,30.09,no,93110
Mabanda,-4.266667,29.783333,no,45836
Mabayi,-2.71,29.24,no,66367
Makamba,-4.133333,29.8,no,93558
Makebuko,-3.6,30,no,59456
Marangara,-2.74,29.99,no,67832
Matana,-3.77,29.68,no,42777
Matongo,-3.0606257,29.6125693,no,70275
Mbuye,-3.23,29.72,no,55342
Mishiha,-3.01,30.81,no,50348
Mpanda,-3.170833,29.404167,no,58913
Mpinga-Kavoye,-3.79,30.16,no,52821
Mubimbi,-3.28,29.5,no,41689
Mugamba,-3.666667,29.583333,no,59084
Mugina,-2.77,29.16,no,88451
Mugongomanga,-3.47,29.55,no,27985
Muhanga,-3.03,29.83,no,64480
Muhuta,,,no,60633
Mukike,-3.52,29.51,no,24660
Muramvya,-3.25,29.6,no,81257
Muruta,-2.97,29.6,no,57888
Murwi,-2.89,29.21,no,82235
Musaga,,,2004,43735
Musigati,-3.0725,29.449167,no,82207
Musongati,-3.73,30.1,no,52949
Mutaho,-3.15,29.87,no,65354
Mutambu,-3.53,29.42,no,43763
Mutimbuzi,-3.2890718,29.3232347,no,69525
Mutumba,-3.2,30.22,no,41476
Muyinga,-2.85,30.333333,no,138227
Mwakiro,-3.13,30.31,no,43475
Mwumba,-2.86,29.79,no,61584
Ndava,-3.38,29.78,no,57284
Ngagara,,,2004,30296
Ngozi,-2.9,29.833333,no,120557
Ntega,-2.61,29.99,no,98665
Nyabihanga,-3.47,29.81,no,60311
Nyabikere,-3.27,30.11,no,48993
Nyabiraba,-3.47,29.48,2004,50554
Nyabitsinda,-3.56,30.28,no,51534
Nyakabiga,,,2004,20883
Nyamurenza,-2.82,29.86,no,57202
Nyanrusange,,,1997,112752
Nyanza-Lac,-4.343333,29.605278,no,40904
Rango,-3.11,29.76,no,77868
Rohero,,,2004,17481
Rugazi,-3.25,29.46,no,57881
Rugombo,-2.81,29.08,no,78587
Ruhororo,-3.02,29.89,no,62337
Rumonge,-3.966667,29.433333,no,145074
Rusaka,-3.5110296,29.6991,no,44292
Rutana,-3.93,29.99,no,55177
Rutegama,-3.31,29.75,no,41170
Rutovu,-3.891111,29.851944,no,46111
Ruyigi,-3.483333,30.25,no,56631
Ryansoro,-3.64,29.79,no,35835
Shombo,-3.28,30.04,no,46815
Songa,-3.8608,29.719589,no,51831
Tangara,-2.92,29.97,no,75640
Vugizo,-4.17,29.71,no,45223
Vumbi,-2.698611,30.104167,no,77656
Vyanda,-4.103889,29.608056,no,29685
