province,capital,area,population,latitude,longitude
Bubanza,Bubanza,1089.04,338023,-3.083333,29.4
Bujumbura Mairie,Bujumbura,86.52,497166,-3.383333,29.366667
Bujumbura Rural,Isale,1059.84,464818,-3.347778,29.48
Bururi,Bururi,1644.68,313102,-3.95,29.616667
Cankuzo,Cankuzo,1964.54,228873,-3.219444,30.552778
Cibitoke,Cibitoke,1635.53,460435,-2.888611,29.12
Gitega,Gitega,1978.96,725223,-3.433333,29.9
Karuzi,Karuzi,1457.4,436443,-3.1,30.166667
Kayanza,Kayanza,1233.24,585412,-2.916667,29.616667
Kirundo,Kirundo,1703.34,628256,-2.59,30.09
Makamba,Makamba,1959.6,430899,-4.133333,29.8
Muramvya,Muramvya,695.52,292589,-3.25,29.6
Muyinga,Muyinga,1836.26,632409,-2.85,30.333333
Mwaro,Mwaro,839.6,273143,-3.533333,29.7
Ngozi,Ngozi,1473.86,660717,-2.9,29.833333
Rutana,Rutana,1959.45,333510,-3.916667,30
Ruyigi,Ruyigi,2338.88,400530,-3.483333,30.25
