department,capital,population,area,latitude,longitude
Zou,Abomey,"851,623","5,243",7.185556,1.988056
Littoral,Cotonou,"678,874",79,6.366667,2.433333
Donga,Djougou,"542,605","11,126",9.7,1.666667
Kouffo,Dogbo-Tota,"741,895","2,404",6.8,1.783333
Alibori,Kandi,"868,046","26,242",11.128611,2.936944
Mono,Lokossa,"495,307","1,605",6.633333,1.716667
Atakora,Natitingou,"769,337","20,499",10.3,1.366667
Atlantique,Ouidah,"1,396,548","3,233",6.366667,2.083333
Borgou,Parakou,"1,202,095","25,856",9.35,2.616667
Ouémé,Porto-Novo,"1,096,850","1,281",6.497222,2.605
Plateau,Sakete,"624,146","3,264",6.736389,2.658056
Collines,Savalou,"716,558","13,931",7.933333,1.966667
