longitude,latitude,objectid,featurenam,population
-1.055556,12.64,5993,Absouya,"26,310"
-0.309167,12.32417,4844,Andemtenga,"51,044"
-2.05,12.85,6751,Arbolle,"45,864"
-0.8718,14.2265,10058,Aribinda,"90,735"
-4.258234,11.64701,2585,Badena,"50,957"
-2.6,12.91667,6952,Bagare,"23,168"
-3.3,11.75,2787,Bagassi,"33,130"
-0.52111,11.49831,1,Bagre,"29,328"
-1.849722,11.76694,2843,Bakata,"28,668"
-4.1532,12.3742,5024,Balave,"16,412"
-4.421753,11.37865,2184,Bama,"69,631"
-3.383333,11.91667,3168,Bana,"12,999"
-0.348333,11.59278,2497,Bane,"24,541"
-4.766667,10.63333,1084,Banfora,"106,815"
-2.44709,14.07895,9820,Banh,"30,557"
-0.172222,13.72139,9280,Bani,"59,452"
-4.799516,11.32668,2120,Banzo,"15,051"
-1.853029,14.20862,10036,Baraboule,"30,209"
-3.8899,13.1691,7820,Barani,"47,237"
-2.255022,13.79331,9405,Barga,"30,489"
-1.055833,13.41389,8578,Barsalogho,"77,742"
0.8,12.88333,6881,Bartibougou,"16,232"
-0.23452,12.16817,4139,Baskoure,"12,792"
-2.245334,13.32522,8336,Bassi,"23,234"
-2.916667,9.883333,95,Batie,"31,793"
-0.733889,11.78083,2849,Beguedo,"19,665"
-3.883333,11.63333,2558,Bekuy,"16,484"
-1.15,11.83333,2986,Bere,"28,627"
-3.683333,11.63333,2564,Bereba,"25,304"
-4.75,10.76667,1256,Beregadougou,"11,755"
-1.821389,11.06,1592,Bieha,"29,859"
-0.036111,12.54778,5631,Bilanga,"92,667"
-1.094444,11.75417,2809,Binde,"36,518"
-1.831389,12.30333,4753,Bingo,"15,100"
-0.05,11.86667,3077,Bissiga,"21,228"
-0.306111,11.25806,1998,Bittou,"70,760"
-0.7,12.88333,6876,Boala,"25,774"
-4.297901,11.17715,1843,Bobo-Dioulasso,"497,462"
-0.143611,12.97139,7158,Bogande,"82,892"
-1.790278,13.00806,7276,Bokin,"54,958"
-3.960814,13.00749,7275,Bomborokui,"15,257"
-3.483333,10.91667,1403,Bondigui,"18,782"
-3.7613765,11.8498581,6944,Bondokui,"51,174"
-3.4,11.56667,2459,Boni,"16,404"
-2.933333,11.75,2789,Boromo,"30,305"
2.0527,12.6628,6076,Botou,"46,898"
-0.733333,12.21667,4354,Boudry,"80,948"
-0.575833,12.6675,6138,Boulsa,"21,209"
0.9001549,13.43348,8637,Boundore,"80,453"
-2.5,11.03333,1538,Boura,"22,807"
-3.716667,12.63333,5942,Bourasso,"24,574"
-0.649467,13.61033,9063,Bouroum,"12,548"
-3.233333,10.53333,943,Bouroum Bouroum,"46,406"
-1.546111,13.67806,9194,Bourzanga,"9,308"
-1.892222,12.66056,6072,Bousse,"48,545"
-3.016667,10.33333,649,Boussera,"41,455"
-2.565158,13.02538,7331,Boussou,"17,639"
-3.1,9.833333,62,Boussoukoula,"23,551"
-0.7,11.7,2709,Boussouma,"7,261"
-1.082778,12.90972,6941,Boussouma,"26,473"
-1.983333,11.8,2893,Bouyounou,"81,474"
-2.05,11.58333,2482,Cassou,"40,833"
-0.136944,13.41056,8566,Coala,"43,370"
0.136944,11.69972,2682,Comin-Yanga,"37,985"
-1.181856,13.71873,9272,Dablo,"21,743"
-5.15114,10.463067,16,Dakoro,"13,204"
-2.083333,11.73333,2763,Dalo,"10,980"
-4.561097,11.58479,2495,Dande,"21,310"
-3.066667,11.15,1770,Dano,"43,829"
-1.534444,12.66917,6141,Dapelogo,"35,698"
-0.288889,12.71472,6254,Dargo,"28,994"
-2.7,12.45,5311,Dassa,"14,782"
-3.466667,12.46667,5373,Dedougou,"86,324"
-0.7138,14.5997,10443,Deou,"25,745"
-3.4151,13.169,7819,Di,"24,142"
-0.033333,12.01667,3459,Diabo,"43,357"
-0.376111,11.96444,3285,Dialgaye,"37,778"
1.788385,12.07305,3733,Diapaga,"32,260"
0.180833,12.11389,3910,Diapangou,"26,457"
-2.6237,12.56045,2,Didyir,"41,604"
-3.25,10.96667,1458,Diebougou,"41,348"
-1.8845,14.4361,10313,Diguel,"9,055"
-2.9189813,10.9431692,15,Dissin,"38,644"
-4.1563,13.1221,7658,Djibasso,"49,730"
-1.627926,14.10116,9862,Djibo,"60,599"
-3.816667,10.05,238,Djigoue,"20,388"
-4.914164,11.17227,1838,Djigouena,"18,284"
-4.1116,12.5431,5628,Dokuy,"28,642"
-3.4,10.86667,1357,Dolo,"8,733"
-0.0345,14.0354,9733,Dori,"98,006"
-1.460556,11.98944,3357,Doulougou,"26,738"
-4.1705,12.9093,6940,Doumbala,"26,643"
-5.116667,10.61667,1058,Douna,"9,025"
-3.3,12.58333,5751,Douroula,"12,806"
-0.0108751,11.5885893,2746,Dourtenga,"9,538"
0.357778,12.06222,3665,Fada-Ngourma,"123,594"
0.183976,14.36909,10236,Falagountou,"26,047"
-2.766667,11.53333,2411,Fara,"37,194"
-4.6677,12.046,3586,Faramana,"16,734"
-4.517071,11.88454,3115,Fo,"19,199"
-3.233333,11.45,2286,Founzan,"32,486"
1.050494,12.72295,6315,Foutouri,"15,001"
-2.183333,11.65,2595,Gao,"19,299"
-1.163889,12.00583,3404,Gaongo,"25,753"
-3.183333,10.33333,644,Gaoua,"52,090"
-0.550556,11.8,2905,Garango,"71,408"
-3.2,12.81667,6641,Gassan,"32,252"
0.493056,12.64972,6001,Gayeri,"48,814"
-3.04248,10.24352,487,Gbomblora,"19,307"
-2.616667,12.7,6204,Godyr,"19,379"
-0.961667,11.56083,2451,Gogo,"38,175"
-2.776373,13.48457,8782,Gomboro,"13,830"
-0.772778,11.42611,2266,Gomboussougou,"46,401"
-2.176304,13.02135,7323,Gomponsom,"18,259"
-0.520903,14.02923,9715,Gorgadji,"30,630"
-0.235449,14.44231,10320,Gorom Gorom,"104,587"
-2.866667,12.53333,5596,Gossina,"18,499"
-0.0593362,12.11428,3912,Goughin,"35,172"
-2.358932,13.20776,7944,Gourcy,"80,689"
-3.183333,11.13333,1733,Gueguere,"32,929"
-1.377222,11.36889,2180,Guiaro,"19,733"
-1.158433,11.72923,2751,Guiba,"30,146"
-1.609971,13.0945652,14,Guibare,"23,830"
-3.516667,11.5,2356,Hounde,"72,723"
-2.333333,12.43333,5245,Imassogo,"22,401"
-1.545,11.96,3283,Ipelse,"13,182"
-2.761426,14.0475,9754,Ka I-n,"11,236"
-1.979444,13.18083,7855,Kalsaka,"49,803"
-3.45,10.13333,334,Kampti,"44,026"
-0.495278,12.34306,4909,Kando,"28,380"
-5.25,10.96667,1449,Kangala,"23,058"
-5.2811218,10.7579214,13,Kankalaba,"9,675"
1.511617,12.47558,5417,Kantchari,"59,150"
-4.644231,11.22191,1946,Karangasso-Sambla,"25,598"
-3.933333,10.88333,1370,Karangasso-Vigue,"76,570"
-3.3024,13.0788,7506,Kassoum,"20,975"
-1.084444,13.09167,7558,Kaya,"114,807"
-4.737854,11.8297,2955,Kayan,"19,786"
-1.843889,12.01306,3414,Kayao,"33,994"
-1.160842,13.86584,9483,Kelbo,"24,446"
-2.731111,13.23953,8046,Kiembara,"29,235"
-2.0381497,12.4370982,12,Kindi,"33,347"
-1.937778,13.04028,7381,Kirsi,"19,055"
-0.668611,12.6525,6055,Kogho,"15,790"
-1.885556,12.18972,4237,Kokologo,"38,988"
-5.3081,11.0821,1626,Koloko,"18,858"
-1.3375,12.06556,3672,Kombissiri,"66,342"
-3.9403,13.4359,8648,Kombori,"8,300"
-1.804444,12.18083,4193,Komki-Ipala,"20,012"
0.71473,11.07779,2259,Kompienga,"29,609"
-1.638056,12.18056,4192,Komsilga,"53,255"
-0.679444,11.82556,2952,Komtoega,"20,126"
-3.433333,12.06667,3679,Kona,"19,585"
-1.534722,13.32583,8338,Kongoussi,"68,807"
-2.9,11.06667,1601,Koper,"21,265"
-2.366667,12.6,5817,Kordie,"18,124"
-1.07,12.82333,6688,Korsimoro,"46,907"
-1.904354,13.36436,8451,Kossouka,"13,285"
-3.05,11.4,2221,Koti,"24,563"
-1.386944,12.16361,4142,Koubri,"43,467"
-2.366667,12.25,4503,Koudougou,"131,825"
-3.116667,12.78333,6509,Koungny,"15,818"
-4.337854,11.89822,3121,Kouka,"59,588"
-3.7,11.23333,1953,Koumbia,"36,195"
-2.417185,13.8478,9463,Koumbri,"44,652"
-4.508513,11.72243,2749,Koundougou,"17,041"
-0.351667,12.17944,4191,Koupela,"57,632"
,,9997,Kourinion,"13,990"
-4.800969,11.61715,2549,Kourouma,"33,837"
-0.99094,14.51248,10374,Koutougou,"18,719"
-2.7611175,9.5101888,11,Kpuere,"6,543"
-2.566667,12.28333,4641,Kyon,"20,400"
-2.45,12.9,6901,La Todin,"29,150"
-0.066667,11.6,2519,Lalgaye,"15,063"
-3.416667,12.98333,7165,Lanfiera,"18,839"
-2.583553,13.24588,8062,Lankoue,"15,916"
-1.7725,12.52639,5587,Laye,"12,264"
-2.347636,13.3857,8502,Leba,"10,511"
-2.9,10.15,365,Legmoin,"13,551"
-3.9,11.3,2065,Lena,"18,106"
-2.1,11.1,1671,Leo,"50,378"
0.320951,13.17451,7834,Liptougou,"41,807"
1.668056,11.63361,2583,Logobou,"61,422"
-3.533333,10.3,581,Loropeni,"45,297"
-5.35,10.58333,999,Loumana,"23,955"
-1.370556,12.51917,5580,Loumbila,"27,771"
1.250833,11.47639,2332,Madjoari,"9,550"
-4.2583417,13.0683753,2964,Madouba,"6,590"
-2.983333,10.46667,859,Malba,"10,157"
-1.339722,12.98861,7219,Mane,"46,297"
-1.073056,11.66361,2618,Manga,"32,033"
-4.3598726,9.9032376,3,Mangodara,"49,746"
-0.209444,13.26,8122,Mani,"68,293"
0.63743,13.15996,7779,Mansila,"42,787"
0.036111,14.64333,10468,Markoye,"29,988"
1.032773,12.35481,4961,Matiakoali,"54,574"
-0.716667,12.41667,5186,Meguet,"34,724"
-3.133333,9.983333,190,Midebdo,"10,844"
-0.837222,12.28444,4676,Mogtedo,"50,809"
-5.020123,11.90178,3155,Morolaba,"20,274"
-4.93817,10.8327567,4,Moussodougou,"10,444"
-0.525906,13.59981,9037,Narbingou,"15,848"
-1.193333,12.48278,5429,Nagreongo,"23,245"
-3.066667,10.63333,1095,Nako,"27,840"
-1.288056,13.51556,8853,Namissiguima,"9,903"
-2.218921,13.59468,9025,Namissiguima,"35,956"
1.699167,11.86056,3046,Namounou,"15,077"
-2.166667,12.33333,4872,Nandiala,"23,266"
-2.2,12.68333,6162,Nanoro,"33,291"
-1.359094,13.32469,8331,Nasre,"10,507"
-1.5516,14.4085,10279,Nassoumbou,"20,222"
-4.818766,11.76142,2815,Ndorola,"30,703"
-2.366667,11.9,3132,Nebielianayou,"7,733"
-2.633333,11.26667,2009,Niabouri,"19,068"
-4.916667,10.28333,543,Niangoloko,"51,345"
-5.3,10.45,803,Niankorodougou,"34,196"
-0.766667,11.76667,2840,Niaogho,"19,091"
-2.7,11.11667,1705,Niego,"9,320"
-1.936389,12.76889,6494,Niou,"26,901"
-1.204444,11.55806,2450,Nobere,"32,814"
-3.866667,12.73333,6325,Nouna,"70,010"
-4.918847,10.98115,1468,Orodara,"30,332"
-3.1,11.28333,2034,Oronkua,"21,530"
-1.524722,12.37028,5016,Ouagadougou,"1,273,355"
