subdistrict,capital,latitude,longitude,
Gaborone,Gaborone,-24.6582664,25.9189378,
Francistown,Francistown,-21.1660883,27.5103156,
Lobatse,Lobatse,-25.2296147,25.6684399,
Selebi-Phikwe,Selebi-Phikwe,-21.97614,27.8342413,
Jwaneng,Jwaneng,-24.60488,24.7264313,
Lethlakane,Lethlakane,-21.411063,25.5785954,
Sowa,Sowa,-20.5650961,26.2239711,
Ngwaketse North,Kanye,-24.9900199,25.3457387,
South-East,Ramotswa,-24.8739061,25.8726477,
Kweneng South,Molepolole,-24.4000451,25.5163837,
Kgatleng,Mochudi,-24.3923197,26.1428151,
Serowe,Serowe,-22.388565,26.6974529,
Masungu,Masunga,-20.624404,27.4452106,
Ngamiland East,Maun,-19.9921754,23.4205781,
Ghanzi,Ghanzi,-21.6950627,21.6473426,
Kgalagadi South,Tsabong,-26.0233783,22.3985094,
Chobe,Kasane,-17.799558,25.1514889,
Ngamiland West,Gumare,-19.3716471,22.1614259,
Tutume,Tutume,-20.4893988,27.0357627,
Bobonong,Bobonong,-21.9710904,28.4221879,
Palapye,Palapye,-22.5414439,27.1249471,
Tuli,,,,
Machaneng,Machaneng,-23.1882927,27.4884822,
Mahalapye,Mahalapye,-23.112759,26.8332497,
Kweneng North,Lethlakeng,-24.1001903,25.0282108,
Ngwaketse Central,,,,
Ngwaketse South,,,,
Kgalagadi North,Hukuntsi,-23.9971572,21.7780414,
Gemsbok,,,,
GoodHope,Goodhope,-25.467122,25.439214,
Lerala,Lerala,-22.7830255,27.7518296,new
Sefhare,Sefhare,-23.0260064,27.5201725,new
Paje,Paje,-22.2628852,26.7804622,new
Shoshong,Shoshong,-23.039708,26.4870256,new
Sebina,Sebina,-20.8080275,27.1813773,new
Nata,Nata,-20.2086415,26.1681461,new
Rakops,Rakops,-21.0383431,24.393661,new
Mmadinare,Mmadinare,-21.88106,27.7491923,new
Mmaphashalala,Mmaphashalala,-23.647152,26.823702,new
Charles Hill,Charles Hill,-22.2797639,20.06258,old
New Xhade,New Xhade,,,
Mmathubudukwane ,Mmathubudukwane ,-24.6,26.4333,old
Tlokweng,Tlokweng,-24.6688293,25.9723434,old
