Region,Capital,latitude,longitude
Kabadougou,Odienné,9.5,-7.566667
Tonkpi,Man,7.4,-7.55
Worodougou,Séguéla,7.966667,-6.666667
San-Pédro,San-Pédro,4.75,-6.633333
Haut-Sassandra,Daloa,6.883333,-6.45
Gôh,Gagnoa,6.133333,-5.933333
Poro,Korhogo,9.416667,-5.616667
Yamoussoukro,Yamoussoukro,6.816667,-5.283333
Gbêkê,Bouaké,7.683333,-5.016667
N'Zi,Dimbokro,6.65,-4.7
Grands-Ponts,Dabou,5.316667,-4.383333
Abidjan,Abidjan,5.316667,-4.033333
Indénié-Djuablin,Abengourou,6.733333,-3.483333
Gontougo,Bondoukou,8.033333,-2.8
Sud-Comoé,Aboisso,5.466667,-3.2
La Mé,Adzopé,6.166667,-3.983333
Agnéby-Tiassa,Agboville,5.933333,-4.216667
Moronou,Bongouanou,6.65,-4.2
Marahoué,Bouaflé,6.983333,-5.75
Bounkani,Bouna,9.266667,-3
Bagoué,Boundiali,9.516667,-6.483333
Iffou,Daoukro,7.05,-3.966667
Lôh-Djiboua,Divo,5.833333,-5.366667
Guémon,Duékoué,6.733333,-7.35
Tchologo,Ferkessédougou,9.583333,-5.2
Cavally,Guiglo,6.55,-7.483333
Hambol,Katiola,8.133333,-5.1
Béré,Mankono,8.05,-6.183333
Folon,Minignan,10,-7.833333
Gbôklé,Sassandra,4.95,-6.083333
Nawa,Soubré,5.783333,-6.6
Bafing,Touba,8.283333,-7.683333
Bélier,Yamoussoukro,,
