latitude,longitude
9.825846,-3.1684225
9.687303,-3.0806694
9.800105089,-3.357872806
9.761575078,-3.541385324
9.606941929,-3.460455376
9.599911462,-3.628376104
9.467066923,-3.193541042
9.269938334,-3.019559482
9.045706764,-3.102889994
8.835756032,-2.967666074
8.682596258,-3.192035737
8.613982888,-3.173021359
8.642181676,-2.647273802
8.301424635,-2.975152986
8.217805943,-2.965883476
8.16275616,-3.017222298
8.18498872,-2.7188154
8.049103823,-2.813649611
7.902226325,-2.847162452
7.898694969,-2.886023088
7.904345124,-2.994761563
7.99579622,-3.078187148
7.966844798,-3.150917144
7.80545628,-3.179082192
7.814993014,-3.325968264
7.885275539,-3.297446696
8.003278926,-3.345160902
8.131532422,-3.455681975
7.955026301,-3.595615915
8.119179503,-3.700789194
8.007986194,-3.7827887
7.863271834,-3.997651174
8.056997382,-4.116253358
8.237504776,-4.258980035
8.360274394,-4.430109438
8.437162145,-4.51603066
8.465726638,-4.248640966
8.621912052,-3.796930644
8.453031569,-3.488541197
8.229389344,-3.21926195
7.817514521,-3.537237812
7.691518726,-3.770163945
7.602474796,-3.745682933
7.474553774,-3.970385348
7.658329656,-3.99486636
7.660626357,-4.253432194
7.711327289,-4.503887207
7.454227617,-4.34404759
7.353172047,-4.458728058
7.380613525,-4.60555471
7.336710275,-4.689336814
7.417441751,-4.774307317
7.387684783,-4.842640238
7.38945258,-4.990892968
7.50728966,-5.08566776
7.587106169,-5.174203458
7.702534066,-5.044370907
7.701061968,-5.008718948
7.709894477,-5.279079638
7.798209394,-5.189355541
7.763768782,-5.402673097
7.682807533,-5.578853195
7.859724449,-5.481701606
7.830292541,-5.74017831
7.790850526,-5.840003795
7.681335367,-5.846242888
7.620088749,-5.952010367
7.821168227,-6.084219715
7.60418675,-6.36824699
7.473709324,-6.214943566
7.42421781,-6.044408361
7.316672451,-6.225639153
7.15840116,-6.314471952
7.153831987,-6.613354209
6.98606769,-6.669506045
6.886677928,-6.457079788
6.902310346,-6.255943319
6.927085197,-6.04559676
6.856296472,-5.814572064
6.981585281,-5.756459371
7.179996517,-5.829118064
7.142853993,-5.809866006
7.061129839,-5.604154202
6.987530362,-5.481154943
6.811623367,-5.281503971
6.775513696,-5.124278832
6.662565081,-5.028731581
6.552423985,-5.024096826
6.472016229,-5.122852753
6.690539121,-4.841558796
6.647338033,-4.708220468
6.762060381,-4.595203758
6.675312943,-4.483969645
6.804543253,-4.489317439
6.833217069,-4.712142184
7.064314169,-4.501795625
6.943648229,-4.329596662
7.068913717,-4.290022988
7.285040326,-4.252469591
7.297417612,-4.024297052
7.058653124,-3.970522014
6.971487908,-3.995300125
6.790205703,-4.111228413
6.691129274,-4.126784551
6.675076875,-3.980754126
6.638602924,-4.309940549
6.636950319,-4.200845554
6.473315135,-4.358973877
6.342581337,-4.519051173
6.510509655,-4.60925063
7.085817645,-5.04545235
7.12072426,-4.899279317
7.228493403,-4.810387099
6.241742856,-4.429683596
6.066578145,-4.477516641
6.069827929,-4.317677024
5.931842697,-4.217851538
5.981781425,-4.140308527
5.913816362,-4.019983165
5.98119046,-3.950758944
6.002760242,-3.817658297
5.906723873,-3.781412138
6.104947982,-3.870363777
6.081550625,-3.644805715
6.087967747,-3.422429076
6.257110627,-3.547888225
6.235373903,-3.325039712
6.01630618,-3.202853318
5.797572628,-3.143195706
5.609604625,-3.168619401
5.474403923,-3.221026069
5.428230787,-3.283974309
5.289020959,-3.304141491
5.208696647,-3.210257999
5.305291655,-3.14801562
5.422664535,-3.03499891
5.448543857,-2.910514152
5.307173253,-2.789947545
5.188799003,-2.905712404
5.136721598,-3.026453705
5.134827794,-3.295507157
5.2745753,-3.597170267
5.224587893,-3.733503359
5.41277698,-3.74662328
5.508174554,-3.669615048
5.51771037,-3.517586158
5.591604524,-3.520146254
5.737866333,-3.454939106
5.667628232,-3.779614937
5.514648658,-3.936709449
5.494207824,-4.059542332
5.635575771,-4.058401469
5.740680544,-4.243886729
5.809352423,-4.341810776
5.710598514,-4.452664601
5.737653493,-4.401706068
5.659517135,-4.581423632
5.796387421,-4.669365132
5.861706942,-4.768002219
5.89303396,-4.550376718
6.07516229,-4.711197274
5.89040374,-4.829086419
5.69142272,-5.073963469
5.885297509,-5.164470388
5.836527039,-5.35801763
5.931051159,-5.409821923
6.012172778,-5.319380717
6.177350651,-5.303814454
6.135427545,-5.202916557
6.260004814,-5.091346271
6.168515995,-4.952161022
6.334367506,-4.859413766
6.374516312,-5.43071559
6.389332717,-5.289458535
6.278124449,-5.588387378
6.346678275,-5.651486212
6.47163485,-5.710966609
6.391775212,-5.833223119
6.46233576,-5.960233224
6.307628578,-5.939073168
6.212272271,-5.855342973
6.130139991,-5.949636035
5.986266503,-5.944776721
5.954585261,-5.851227121
5.838114224,-5.978364384
5.896277144,-6.129053331
5.982564533,-6.363405543
6.005257045,-6.310640643
5.758898924,-6.404524135
5.773087555,-6.602986708
5.793423974,-6.701623795
5.55884921,-6.590579826
5.404022887,-6.553691933
5.411216193,-6.377238503
5.238569268,-6.077373836
5.204106696,-6.226636705
5.081957737,-6.34205398
6.141565436,-5.700734655
6.065348228,-5.713212841
6.044371828,-5.633293033
5.845499202,-5.690336167
5.723126237,-5.623488744
5.646851537,-5.765205281
5.655218596,-5.486288121
5.463307921,-5.592649799
5.684109147,-6.083303945
5.543841133,-6.048840384
5.270187874,-5.920849851
4.940976111,-6.097647061
5.016213053,-6.564266367
5.212553767,-6.843985696
4.953159984,-7.093218941
4.642822406,-6.934786388
4.404932162,-7.378465607
4.419624631,-7.485659164
4.719333465,-7.40247126
4.70583152,-7.48922436
4.912500579,-7.51408566
4.730054532,-6.627591519
5.117091516,-5.58904995
5.118867007,-5.372642558
5.277930789,-5.538424168
5.517522547,-5.251816832
5.270973919,-5.11795561
5.249010122,-5.003679197
5.156759825,-4.808591486
5.319256508,-4.575671437
5.265296541,-4.550382314
5.203000091,-4.42146483
5.32096043,-4.386858662
5.322183843,-4.257276815
5.421677364,-4.473541599
5.632820105,-4.885559407
5.506261776,-4.867020388
5.20324143,-5.31977056
6.229982106,-6.181121892
6.293418383,-6.293782083
6.372791408,-6.275599584
6.478366819,-6.284156054
6.676349435,-6.173634981
6.617919139,-6.054913957
6.775487886,-6.070957339
6.384365618,-6.521467378
6.482971958,-6.593068396
6.630550114,-6.527112272
6.746722118,-6.601060377
6.795991669,-6.753769602
6.769026801,-6.879442758
6.729786394,-6.961442264
6.548885759,-6.855080586
6.388587778,-6.715146646
6.11292388,-6.543185364
6.147190379,-6.868568911
6.253993111,-7.005710113
6.484693954,-7.18349455
6.742512829,-7.134294846
6.746289389,-7.357238431
6.884113528,-7.203459647
6.885293357,-7.441614734
6.907591583,-7.64128155
7.013287331,-7.498198354
7.045180103,-7.415485809
7.113298724,-7.390957261
7.117449671,-7.474050094
7.163107612,-7.316706114
7.135751129,-7.181704029
7.027488377,-7.174098278
6.976060609,-7.020240267
7.42887433,-8.350937758
7.396254363,-8.26955622
7.516805341,-8.114132464
7.265465595,-8.15871722
7.17380017,-8.047304847
7.223319492,-7.936189575
7.103343765,-8.180405495
7.077988604,-8.2635934
7.037004644,-8.134057948
6.91904507,-8.216354554
6.97065604,-8.060674332
6.782863448,-8.317685344
6.701667068,-8.369499525
6.599680385,-8.481446677
6.581736102,-8.425591941
6.526482533,-8.511156643
6.475237663,-8.42654266
6.516564579,-8.316496946
6.564027292,-8.31269407
6.438630996,-8.175552867
6.443945031,-8.123857526
6.59165276,-8.122431448
6.56969418,-8.019753806
6.550213982,-7.85005048
6.559777083,-7.77197269
6.570048358,-7.71956431
6.54317436,-7.498433033
6.371359376,-7.420890022
6.200668289,-7.499918531
7.142282834,-6.849092017
7.251697319,-7.234608535
7.332326346,-7.209889844
7.28234749,-7.389100358
7.389370824,-7.37911781
7.422368403,-7.29165167
7.373342539,-7.455650682
7.303565611,-7.452798525
7.451121418,-7.429030553
7.48034386,-7.502235909
7.403512946,-7.565458716
7.532185307,-7.417146566
7.598627542,-7.485598328
7.517576071,-7.266932978
7.6815481,-7.476566498
7.723473369,-7.425227677
7.726299642,-7.543116822
7.744198932,-7.618698975
7.641974388,-7.738489558
7.664588388,-7.853051187
7.788001879,-7.882523473
7.873239623,-8.100238103
8.040367539,-7.839741122
7.944336158,-7.678594267
8.149081497,-7.758454655
8.240830051,-7.862558376
8.278934749,-7.67574211
8.132140995,-7.543592181
8.290224322,-7.302109578
8.555905134,-7.458502839
8.735428971,-7.484647609
8.684682225,-7.662432045
8.872128779,-7.781271909
9.028965441,-7.820726744
9.153353258,-7.602061394
9.277228437,-7.808842757
9.529535062,-7.953352032
9.597972937,-8.10356562
9.677643451,-7.713770866
9.713254757,-7.594455643
9.821939465,-7.544067541
9.823344638,-7.499383752
10.00690226,-7.810268836
10.20111679,-7.805515241
10.34798609,-7.495105517
10.21702312,-7.461354996
10.01111538,-7.18707259
9.916072814,-6.88997293
10.00971101,-6.848616658
9.759169005,-6.449314715
9.820065892,-6.440282886
9.887976126,-6.402729489
9.905770975,-6.243008712
9.815381913,-6.215913223
10.23023881,-6.664890228
10.17468245,-6.390073043
10.13321355,-6.118761634
10.35248697,-6.230174007
10.46089779,-6.405165706
10.60577595,-6.247108687
10.59339387,-6.615155745
9.519983135,-7.547632737
9.55133355,-7.30074292
9.693399578,-7.217555015
9.607874192,-6.933230641
9.506973332,-6.476505276
9.513068076,-6.191289603
9.292041273,-6.314265094
9.321688518,-6.210636733
9.263664115,-6.096045394
9.326574311,-5.900453285
9.102234012,-6.123278029
8.687624731,-5.966978129
8.753822721,-6.24331789
8.935129587,-6.2525874
8.702686903,-6.621482182
8.949999662,-6.774785607
8.764706775,-6.993213276
8.270550221,-6.894566682
7.851682788,-7.022231594
7.977924362,-6.932804597
7.957916626,-6.665414903
7.89858904,-6.441520029
8.064758136,-6.195481011
8.121586113,-6.535600701
8.183346529,-6.610826335
8.486792785,-6.602566964
8.415381491,-6.173852155
8.441868101,-5.917607264
8.166453749,-5.733294558
8.201154498,-5.665852936
8.084689236,-5.494129332
7.999671864,-5.445999187
7.863430678,-5.317652135
7.949947594,-5.280217577
8.120279434,-5.105820077
8.216739442,-5.141174937
8.657682197,-5.29566676
8.778966565,-5.205645563
8.771038768,-5.683381815
9.060908637,-5.776849368
9.053573755,-5.552539125
9.223117732,-5.710596144
9.262118975,-5.588785284
9.354766189,-5.637212528
9.378217275,-5.520749462
9.445337233,-5.632756033
9.38026917,-5.785168159
9.571920865,-5.591459181
9.567350606,-5.473807716
9.501954035,-5.47879899
9.572623976,-5.387529974
9.38484192,-5.393234288
9.326446895,-5.436016639
9.503712171,-5.153296603
9.587037436,-5.207131061
9.480504047,-5.062027588
9.435138185,-4.723096296
9.219833219,-4.818168187
9.146158291,-4.613763621
8.919172352,-4.158844623
8.341479176,-3.755502125
7.70664209,-2.993263238
7.562353747,-3.022973204
7.491664243,-3.265406526
7.350250929,-3.216087983
7.391595451,-3.045837994
7.268894249,-3.070437846
7.220087304,-3.073290003
7.139084463,-3.211976124
7.075757835,-3.156715587
6.97455874,-3.240854211
6.963234398,-3.424105281
6.833456911,-3.580498541
6.73539252,-3.50277727
6.66882487,-3.277100369
6.446985974,-3.368250545
6.391186171,-3.355772359
6.189547969,-3.662498047
5.363437508,-3.893760422
5.362585607,-7.300820091
5.815908297,-3.956190964
6.095234576,-4.070396073
6.324194754,-3.957735882
6.38513935,-3.893205836
6.491774899,-3.852562603
6.67098492,-3.68892011
6.777500109,-4.289477362
6.922924604,-4.896107331
6.980114645,-5.258759059
7.159849447,-5.373320688
7.161264403,-5.229286773
6.725254523,-5.480415212
6.650304705,-5.611139062
6.619516485,-5.918718021
7.111059871,-7.556731438
7.189179015,-7.645861336
7.086884456,-7.717165255
7.153511177,-7.755491111
7.26109571,-7.599513789
7.328580838,-7.679730697
7.270978447,-7.796154151
7.605451586,-7.135790738
7.436301047,-6.720088894
7.375527811,-6.482939667
7.602243199,-6.523125225
8.381668968,-8.119192132
8.27160744,-8.058583801
8.362269346,-7.965175668
9.137272617,-6.89065533
9.35215926,-7.113123555
8.981891533,-7.231488059
9.599528755,-6.069471871
9.683884794,-6.007793981
9.811081682,-5.93078575
9.99406098,-5.896203349
10.20606159,-5.861620949
10.36356678,-5.745752082
10.1874645,-5.621683264
10.09200578,-5.472658075
10.07866737,-5.194572793
9.955085473,-5.159277354
9.183760377,-5.169972942
9.055275609,-5.170270041
8.92439689,-5.182748227
8.630189683,-4.644463064
8.440036389,-4.694138127
8.374671498,-4.722184335
8.163814949,-4.948883259
7.894010057,-4.542070637
7.899848616,-4.37531454
7.735961146,-4.824220242
7.644453068,-4.838124506
7.623604846,-4.745785932
7.456075735,-5.299104338
7.392793764,-5.563998394
7.428147943,-5.622467607
7.502735915,-5.584320011
7.483294779,-5.874705218
7.405168049,-5.869000904
7.257420133,-3.765951255
7.06451473,-3.764525176
7.099422959,-3.454115452
7.178664222,-3.326243758
7.482155777,-3.58697842
7.572579355,-3.527855587
9.568839025,-5.668339794
6.975797473,-7.808408062
5.881923156,-7.468020982
