commune,department,province,latitude,longitude
Abong-Mbang,Haut-Nyong,Est,3.983333,13.166667
Afanloum,Méfou-et-Afamba,Centre,,
Ako,Donga Mantung,Nord-Ouest,6.816667,10.716667
Akoeman,Nyong-et-So'o,Centre,3.2,11.583333
Akom II,Océan,Sud,2.783333,10.566667
Akono,Méfou-et-Akono,Centre,3.499722,11.326667
Akonolinga,Nyong-et-Mfoumou,Centre,3.766667,12.25
Akwaya,Manyu,Sud-Ouest,6.366667,9.533333
Alou,Lebialem,Sud-Ouest,5.50699,9.89758
Ambam,Vallée du Ntem,Sud,2.383333,11.283333
Andek,Momo,Nord-Ouest,5.983333,9.833333
Angossas,Haut-Nyong,Est,4.083333,12.983333
Atok,Haut-Nyong,Est,4,12.783333
Awaé,Méfou-et-Afamba,Centre,3.8833,11.8833
Ayos,Nyong-et-Mfoumou,Centre,3.906944,12.527222
Babadjou,Bamboutos,Ouest,5.666667,10.2
Babessi,Ngo-Ketunjia,Nord-Ouest,6.016667,10.566667
Babouantou,Haut-Nkam,Ouest,,
Bafang,Haut-Nkam,Ouest,5.15,10.183333
Bafia,Mbam-et-Inoubou,Centre,4.75,11.216667
Bafou,Haut-Nkam,Ouest,5.466667,10.116667
Bafoussam,Mifi,Ouest,5.4750554,10.4173542
Bafoussam II,x,x,5.5170557,10.4101455
Bafut,Mezam,Nord-Ouest,6.083333,10.1
Baham,Hauts-Plateaux,Ouest,5.333333,10.4
Bakou,x,x,5.01909,10.19381
Bali,Mezam,Nord-Ouest,5.883333,10.016667
Balikumbat,Ngo-Ketunjia,Nord-Ouest,5.9,10.383333
Bamenda,Mezam,Nord-Ouest,5.933333,10.166667
Bamenda I,x,x,5.9455,10.1682
Bamenda II,x,x,5.95825,10.14072
Bamendjou,Hauts-Plateaux,Ouest,5.4,10.316667
Bamuso,Ndian,Sud-Ouest,4.466667,8.9
Bana,Haut-Nkam,Ouest,5.15,10.266667
Bandja,Haut-Nkam,Ouest,5.26603,10.2278
Bandjoun,Koung-Khi,Ouest,5.35,10.4
Bangangté,Ndé,Ouest,5.1406,10.5264
Bangem,Koupé et Manengouba,Sud-Ouest,5.083333,9.766667
Bangou,Hauts-Plateaux,Ouest,5.2,10.383333
Bangourain,Noun,Ouest,5.8723,10.675
Banka,Haut-Nkam,Ouest,5.166667,10.2
Bankim,Mayo-Banyo,Adamaoua,6.083333,11.483333
Banwa,x,x,5.10273,10.07122
Banyo,Mayo-Banyo,Adamaoua,6.78,11.82
Baré,Mungo,Littoral,5,9.966667
Bashéo,Bénoué,Nord,9.6679,13.3692
Bassamba,Ndé,Ouest,5.05,10.566667
Batcham,Bamboutos,Ouest,5.533333,10.233333
Batchenga,Lékié,Centre,4.283333,11.65
Batibo,Momo,Nord-Ouest,5.84,9.86
Batié,Hauts-Plateaux,Ouest,5.283333,10.283333
Batoufam,Koung-Khi,Ouest,,
Batouri,Kadey,Est,4.433333,14.366667
Bayangam,Koung-Khi,Ouest,5.3,10.45
Bazou,Ndé,Ouest,5.066667,10.466667
Beka,Faro,Nord,9.04809,12.90317
Bélabo,Lom-et-Djérem,Est,4.933333,13.3
Belel,Vina,Adamaoua,7.05,14.433333
Belo,Boyo,Nord-Ouest,6.1752,10.34743
Benakuma,Menchum,Nord-Ouest,6.416667,9.916667
Bengbis,Dja et Lobo,Sud,3.45,12.45
Bertoua,Lom-et-Djérem,Est,4.583333,13.683333
Bertoua I,x,x,,
Bétaré-Oya,Lom-et-Djérem,Est,5.6,14.083333
Bibemi,Bénoué,Nord,9.316667,13.883333
Bibey,Haute- Sanaga,Centre,4.866667,12.816667
Bikok,Méfou-et-Akono,Centre,3.62468,11.44779
Bipindi,Océan,Sud,3.083333,10.416667
Biwong-Bane,Mvila,Sud,3.12639,11.14845
Biwong-Bulu,Mvila,Sud,2.786853,11.3656982
Biyouha,Nyong-et-Kéllé,Centre,3.833333,10.733333
Blangoua,Logone-et-Chari,Extrême-Nord,12.7675,14.575833
Bokito,Mbam-et-Inoubou,Centre,4.566667,11.116667
Bonaléa,Mungo,Littoral,4.3384,9.7339
Bondjock,Nyong-et-Kéllé,Centre,3.6189341,11.1045305
Bot-Makak,Nyong-et-Kéllé,Centre,3.998056,10.886389
Bourrha,Mayo-Tsanaga,Extrême-Nord,10.25,13.516667
Buéa,Fako,Sud-Ouest,4.166667,9.233333
Campo,Océan,Sud,2.36619,9.82359
Darak,Diamaré,Extrême-Nord,10.6316,14.6588
Dargala,Diamaré,Extrême-Nord,10.525619,14.604864
Datcheka,Mayo-Danay,Extrême-Nord,10.01191,15.10814
Dembo,Bénoué,Nord,9.71,13.55
Demding,Koung-Khi,Ouest,,
Deuk,Mbam-et-Inoubou,Centre,4.933333,11.266667
Diang,Lom-et-Djérem,Est,4.5833,13.35
Dibamba,Sanaga-Maritime,Littoral,3.97927,10.10228
Dibang,Nyong-et-Kéllé,Centre,3.98,10.72
Dibombari,Mungo,Littoral,4.183333,9.65
Dikome-Balue,Ndian,Sud-Ouest,4.9126,9.2412
Dimako,Haut-Nyong,Est,4.383333,13.566667
Dir,Mbéré,Adamaoua,6.3287,13.5419
Dizangué,Sanaga-maritime,Littoral,3.766667,9.983333
Djohong,Mbéré,Adamaoua,6.833333,14.7
Djoum,Dja et Lobo,Sud,2.666667,12.666667
Douala,Wouri,Littoral,4.05,9.7
Douala II,x,x,,
Douala III,x,x,,
Douala IV,x,x,,
Douala V,x,x,,
Doumaintang,Haut-Nyong,Est,4.35,13.1
Doumé,Haut-Nyong,Est,4.2415,13.4576
Dschang,Menoua,Ouest,5.45,10.066667
Dzeng,Nyong-et-So'o,Centre,3.761389,11.886389
Dziguilao,Mayo-kani,Extrême-Nord,10.016667,14.8
Ebebda,Lékié,Centre,4.36,11.2771
Ebolowa,Mvila,Sud,2.916667,11.15
Ebolowa II,x,x,2.9191,11.1578
Ebone,Mungo,Littoral,4.883333,9.9
Édéa,Sanaga maritime,Littoral,3.8,10.133333
Edéa II,x,x,3.8132,10.1106
Edzendouan,Méfou-et-Afamba,Centre,4.2,11.75
Efoulan,Mvila,Sud,3.00148,10.92081
Ekondo-Titi,Ndian,Sud-Ouest,4.60139,9.03889
Elak-Oku,Bui,Nord-Ouest,6.248077,10.506789
Elig-Mfomo,Lékié,Centre,4.15935,11.35187
Endom,Nyong-et-Mfoumou,Centre,3.535583,11.9791255
Éséka,Nyong et Kellé,Centre,3.65,10.7667
Esse,Méfou-et-Afamba,Centre,4.0833,11.8833
Evodoula,Lékié,Centre,4.083333,11.2
Eyumodjock,Manyu,Sud-Ouest,5.7697,8.9864
Figuil,Mayo-Louti,Nord,9.766667,13.966667
Fokoué,Menoua,Ouest,5.35,10.116667
Fonfuka,Boyo,Nord-Ouest,6.516667,10.433333
Fongo-Tongo,Menoua,Ouest,5.516667,10
Fotokol,Logone-et-Chari,Extrême-Nord,12.366667,14.233333
Foumban,Noun,Ouest,5.716667,10.916667
Foumbot,Noun,Ouest,5.5,10.633333
Fundong,Boyo,Nord-Ouest,6.25,10.266667
Furu-Awa,Menchum,Nord-Ouest,6.8667,10.0333
Galim,Bamboutos,Ouest,5.69054,10.36561
Galim-Tignère,Faro-et-Déo,Adamaoua,7.09796,12.47105
Gaoua III,x,x,,
Gari-Gombo,Boumba-et-Ngoko,Est,3.9357,15.1091
Garoua,Bénoué,Nord,9.3,13.4
Garoua II,x,x,,
Garoua-Boulaï,Lom-et-Djérem,Est,5.883333,14.55
Gashiga,Bénoué,Nord,9.43188,13.3648
Gawaza,Diamaré,Extrême-Nord,10.5308,14.1404
Gobo,Mayo-Danay,Extrême-Nord,10.01,15.44
Goulfey,Logone-et-Chari,Extrême-Nord,12.3815,14.8983
Gueme,Mayo-Danay,Extrême-Nord,10.5,15.183333
Guere,Mayo-Danay,Extrême-Nord,10.07,15.29
Guider,Mayo-Louti,Nord,9.934167,13.948611
Guider,Mayo-Rey,Nord,,
Guidiguis,Mayo-kani,Extrême-Nord,10.133333,14.7
Hile-Alifa,Logone-et-Chari,Extrême-Nord,12.7,14.316667
Hina,Mayo-Tsanaga,Extrême-Nord,10.3659,13.8484
Idabato,Ndian,Sud-Ouest,4.5509371,8.5003961
Idenau,Fako,Sud-Ouest,4.233333,8.983333
Isanguele,Ndian,Sud-Ouest,4.7804,8.68
Jakiri,Bui,Nord-Ouest,6.1,10.65
Kaélé,Mayo-kani,Extrême-Nord,10.1,14.45
Kai-Kai,Mayo-Danay,Extrême-Nord,10.66636,15.02803
Kalfou,Mayo-Danay,Extrême-Nord,10.283333,14.933333
Kay-Hay,Mayo-Danay,Extrême-Nord,10.6316,14.6588
Kékem,Haut-Nkam,Ouest,5.166667,10.033333
Kentzou,Kadey,Est,4.166667,15.033333
Kette,Kadey,Est,4.9,14.55
Kiiki,Mbam-et-Inoubou,Centre,4.6667,11.1833
Kobdombo,Nyong-et-Mfoumou,Centre,4.02849,12.73017
Kolofata,Mayo-sava,Extrême-Nord,11.162222,14.012778
Kombo-Abedimo,Ndian,Sud-Ouest,4.6621,8.5177
Kombo-Idinti,Ndian,Sud-Ouest,4.6467,8.7629
Kongso-Bamougoum,Mifi,Ouest,5.49,10.35
Kontcha,Faro-et-Déo,Adamaoua,7.966667,12.233333
Kon-Yambetta,Mbam-et-Inoubou,Centre,4.8333,11.0667
Konye,Meme,Sud-Ouest,4.9345,9.47409
Kouoptamo,Noun,Ouest,5.65,10.6
Kousséri,Logone-et-Chari,Extrême-Nord,12.083333,15.033333
Koutaba,Noun,Ouest,5.7,10.816667
Koza,Mayo-Tsanaga,Extrême-Nord,10.87,13.88
Kribi,Océan,Sud,2.935,9.91
Kumba I,Meme,Sud-Ouest,4.6239,9.4297
Kumba II,Meme,Sud-Ouest,4.64133,9.44737
Kumba III,Meme,Sud-Ouest,4.61565,9.45513
Kumbo,Bui,Nord-Ouest,6.205,10.685
Lafé-Baleng,Mifi,Ouest,,
Lagdo,Bénoué,Nord,9.0568,13.6661
Lembe-Yezoum,Haute- Sanaga,Centre,4.242951,12.2849454
Limbe I,Fako,Sud-Ouest,4.00773,9.21145
Limbe II,Fako,Sud-Ouest,4.02055,9.186
Limbe III,Fako,Sud-Ouest,3.99911,9.21486
Lobo,Lékié,Centre,3.8918,11.2302
