Department,Capital,latitude,longitude,population,area
Bamboutos,Mbouda,5.633333,10.25,"318,848","1,173"
Bénoué,Garoua,9.3,13.4,"568,793","13,614"
Boumba-et-Ngoko,Yokadouma,3.516667,15.05,"116,702","30,389"
Boyo,Fundong,6.25,10.266667,"169,725","1,592"
Bui,Kumbo,6.205,10.685,"322,877","2,297"
Diamaré,Maroua,10.5971,14.3157,"566,921","4,665"
Dja-et-Lobo,Sangmélima,2.933333,11.983333,"173,219","19,911"
Djérem,Tibati,6.466667,12.633333,"89,382","13,283"
Donga-Mantung,Nkambe,6.63334,10.66667,"337,533","4,279"
Fako,Limbe,4.016667,9.216667,"534,854","2,093"
Faro,Poli,8.48,13.24,"81,472","11,785"
Faro-et-Déo,Tignere,7.366667,12.65,"66,442","10,435"
Haute-Sanaga,Nanga Eboko,4.683333,12.366667,"115,305","11,854"
Haut-Nkam,Bafang,5.15,10.183333,"203,251",958
Haut-Nyong,Abong-Mbang,3.983333,13.166667,"216,768","36,384"
Hauts-Plateaux,Baham,5.333333,10.4,"117,008",415
Kadey,Batouri,4.433333,14.366667,"192,927","15,884"
Koung-Khi,Bandjoun,5.35,10.4,"121,794",353
Koupé-Manengouba,Bangem,5.083333,9.766667,"123,011","3,404"
Lebialem,Menji,5.713056,10.065,"144,560",617
Lekié,Monatele,4.27,11.2,"354,864","2,989"
Logone-et-Chari,Kousseri,12.083333,15.033333,"405,035","12,133"
Lom-et-Djerem,Bertoua,4.583333,13.683333,"228,691","26,345"
Manyu,Mamfe,5.766667,9.283333,"177,389","9,565"
Mayo-Banyo,Banyo,6.78,11.82,"134,902","8,520"
Mayo-Danay,Yagoua,10.342778,15.240556,"522,782","5,303"
Mayo-Kani,Kaele,10.1,14.45,"338,448","5,033"
Mayo-Louti,Guider,9.934167,13.948611,"334,312","4,162"
Mayo-Rey,Tchollire,8.4,14.166667,"242,441","36,529"
Mayo-Sava,Mora,11.05,14.15,"313,413","2,736"
Mayo-Tsanaga,Mokolo,10.74,13.8,"574,864","4,393"
Mbam-et-Inoubou,Bafia,4.75,11.216667,"153,020","7,125"
Mbam-et-Kim,Ntui,4.45,11.633333,"64,540","25,906"
Mbéré,Meiganga,6.53,14.37,"185,473","14,267"
Méfou-et-Afamba,Mfou,3.96,11.93,"89,805","3,358"
Méfou-et-Akono,Ngoumou,3.5939,11.30548,"57,051","1,329"
Meme,Kumba,4.633333,9.45,"300,318","3,105"
Menchum,Wum,6.383333,10.066667,"157,173","4,469"
Menoua,Dschang,5.45,10.066667,"372,244","1,380"
Mezam,Bamenda,5.933333,10.166667,"465,644","1,745"
Mfoundi,Yaounde,3.866667,11.516667,"1,248,236",297
Mifi,Bafoussam,5.466667,10.416667,"290,758",402
Momo,Mbengwi,6.016667,10,"213,402","1,792"
Moungo,Nkongsamba,4.95,9.933333,"452,722","3,723"
Mvila,Ebolowa,2.916667,11.15,"163,826","8,697"
Ndé,Bangangte,5.1406,10.5264,"129,659","6,626"
Ndian,Mundemba,4.97,8.909722,"123,661","1,524"
Ngo-ketunjia,Ndop,6,10.416667,"174,173","1,126"
Nkam,Yabassi,4.458333,9.970833,"66,979","6,291"
Noun,Foumban,5.716667,10.916667,"434,542","7,687"
Nyong-et-Kéllé,Eseka,3.65,10.7667,"145,181","6,362"
Nyong-et-Mfoumou,Akonolinga,3.766667,12.25,"130,321","6,172"
Nyong-et-So'o,Mbalmayo,3.516667,11.5,"142,907","3,581"
Océan,Kribi,2.935,9.91,"133,062","11,280"
Sanaga-Maritime,Edea,3.8,10.133333,"167,661","9,311"
Vallée-du-Ntem,Ambam,2.383333,11.283333,"64,747","7,303"
Vina,Ngaoundere,7.316667,13.583333,"247,427","17,196"
Wouri,Douala,4.05,9.7,"1,514,978",923
