district,region,capital,latitude,longitude
Abura/Asebu/Kwamankese District,Central,Abura-Dunkwa,5.3388997,-1.1687974
Accra Metropolitan District,Greater Accra,Accra,5.55,-0.2
Adaklu District,Volta,Adaklu Waya,6.4461995,0.6243133
Adansi North District,Ashanti,Fomena,6.266667,-1.5
Adansi South District,Ashanti,New Edubiase,6.066667,-1.4
Afigya-Kwabre District,Ashanti,Kodie,6.7964428,-1.6474533
Agona West Municipal District,Central,Agona Swedru,5.530556,-0.702778
Ahafo Ano North District,Ashanti,Tepa,7,-2.166667
Ahafo Ano South District,Ashanti,Mankranso,6.816667,-1.866667
Ahanta West District,Western,Agona Nkwanta,4.8883,-1.9658
Ajumako/Enyan/Essiam District,Central,Ajumako,,
Akatsi South District,Volta,Akatsi,6.131022,0.798211
Akuapim North District,Eastern,Akropong,5.974167,-0.088056
Akuapim South District,Eastern,Nsawam,5.8,-0.35
Amansie Central District,Ashanti,Jacobu,6.35,-1.666667
Amansie West District,Ashanti,Manso Nkwanta,6.466667,-1.883333
Aowin/Suaman District,Western,Enchi,5.816667,-2.816667
Asante Akim North District,Ashanti,Agogo,6.8,-1.083333
Asante Akim South District,Ashanti,Juaso,6.6,-1.133333
Asikuma/Odoben/Brakwa District,Central,Breman Asikuma,5.5811,-0.9944
Assin North Municipal District,Central,Assin Foso,5.7023373,-1.2851472
Assin South District,Central,Assin Kyekyewere,,
Asunafo North Municipal District,Brong-Ahafo,Goaso,6.8,-2.516667
Asunafo South District,Brong-Ahafo,Kukuom,6.7,-2.45
Asuogyaman District,Eastern,Atimpoku,6.2060915,0.082045
Asutifi District,Brong-Ahafo,Kenyasi,6.983333,-2.383333
Atebubu-Amantin District,Brong-Ahafo,Atebubu,7.75,-0.983333
Atiwa District,Eastern,Kwabeng,6.316667,-0.583333
Atwima Kwanwoma District,Ashanti,Ofoase-Kokoben,,
Atwima Mponua District,Ashanti,Nyinahin,6.6,-2.116667
Atwima Nwabiagya District,Ashanti,Nkawie,6.666667,-1.816667
Ayensuano District,Eastern,Coaltar,,
Bawku Municipal District,Upper East,Bawku,11.05,-0.233333
Bawku West District,Upper East,Zebilla,10.916667,-0.516667
Berekum Municipal District,Brong-Ahafo,Berekum,7.45,-2.583333
Bia District,Western,Essam,6.666667,-3.1
Bia East District,Western,Debiso,,
Bibiani/Anhwiaso/Bekwai District,Western,Bibiani,6.216667,-2.35
Birim North District,Eastern,New Abirem,6.3,-0.983333
Birim South District,Eastern,Akim Swedru,5.893956,-1.012667
Bole District,Northern,Bole,9.033333,-2.483333
Bolgatanga Municipal District,Upper East,Bolgatanga,10.783333,-0.85
Bongo District,Upper East,Bongo,10.9105463,-0.8083988
Bosome Freho District,Ashanti,Asiwa,6.416667,-1.333333
Botsomtwe District,Ashanti,Kuntanase,6.533581,-1.473897
Builsa District,Upper East,Sandema,10.733333,-1.283333
Bunkpurugu-Yunyoo District,Northern,Bunkpurugu,10.516667,0.1
Cape Coast Metropolitan District,Central,Cape Coast,5.1133378,-1.2512611
Central Gonja District,Northern,Buipe,8.783333,-1.533333
Central Tongu District,Volta,Adiodome,6.0669586,0.5020599
Chereponi District,Northern,Chereponi,10.1369335,0.2887125
Dangme East District,Greater Accra,Ada Foah,5.783333,0.633333
Dangme West District,Greater Accra,Dodowa,5.883333,0.116667
Dormaa Municipal District,Brong-Ahafo,Dormaa Ahenkro,7.283333,-2.883333
East Akim Municipal District,Eastern,Kibi,6.166667,-0.55
East Gonja District,Northern,Salaga,8.55,-0.516667
East Mamprusi District,Northern,Gambaga,10.530556,-0.442222
Effutu Municipal District,Central,Winneba,5.3501527,-0.6286895
Ejisu-Juaben Municipal District,Ashanti,Ejisu,6.714975,-1.511181
Ejura - Sekyedumase District,Ashanti,Ejura,7.383333,-1.366667
Fanteakwa District,Eastern,Begoro,6.383333,-0.383333
Ga East Municipal District,Greater Accra,Abokobi,5.733333,-0.2
Ga West Municipal District,Greater Accra,Amasaman,5.7,-0.3
Garu-Tempane District,Upper East,Garu,10.85,-0.166667
Gomoa West District,Central,Apam,5.278889,-0.739722
Gushegu District,Northern,Gushegu,9.919167,-0.218056
Ho Municipal District,Volta,Ho,6.611944,0.470278
Hohoe Municipal District,Volta,Hohoe,7.149039,0.4746
Jaman North District,Brong-Ahafo,Sampa,7.95,-2.7
Jaman South District,Brong-Ahafo,New Drobo,7.5839783,-2.7892639
Jasikan District,Volta,Jasikan,7.410833,0.466944
Jirapa District,Upper West,Jirapa,10.533333,-2.7
