district,region,capital,latitude,longitude,population
Abura/Asebu/Kwamankese District,Central,Abura-Dunkwa,5.3388997,-1.1687974,"120,408"
Accra Metropolitan District,Greater Accra,Accra,5.55,-0.2,"1,795,115"
Ada West District,Greater Accra,Sege,5.8747471,0.3600745,"62,590"
Adaklu District,Volta,Adaklu Waya,6.4461995,0.6243133,"38,664"
Adansi North District,Ashanti,Fomena,6.266667,-1.5,"111,043"
Adansi South District,Ashanti,New Edubiase,6.066667,-1.4,"121,122"
Adenta Municipal District,Greater Accra,Adenta East,5.7069319,-0.1655572,"82,652"
Afadjato South District,Volta,Ve Golokwati,6.992256,0.425589,"102,026"
Afigya-Kwabre District,Ashanti,Kodie,6.7964428,-1.6474533,"141,314"
Afram Plains South District,Eastern,Tease,6.931042,-0.255776,"100,144"
Agona East District,Central,Nsaba,5.6433,-0.7508,"91,327"
Agona West Municipal District,Central,Agona Swedru,5.530556,-0.702778,"122,079"
Agotime Ziope District,Volta,Kpetoe,6.5488662,0.6949388,"29,559"
Ahafo Ano North District,Ashanti,Tepa,7,-2.166667,"100,938"
Ahafo Ano South District,Ashanti,Mankranso,6.816667,-1.866667,"127,162"
Ahanta West District,Western,Agona Nkwanta,4.8883,-1.9658,"121,083"
Ajumako/Enyan/Essiam District,Central,Ajumako,,,"140,712"
Akatsi North District,Volta,Ave-Dakpa,6.3625,0.8575,"33,146"
Akatsi South District,Volta,Akatsi,6.131022,0.798211,"106,059"
Akuapim North District,Eastern,Akropong,5.974167,-0.088056,"146,202"
Akuapim South District,Eastern,Nsawam,5.8,-0.35,"38,950"
Akuapim South Municipal District,Eastern,Aburi,5.85,-0.183333,"93,417"
Akyemansa District,Eastern,Ofoase,6.166667,-1.15,"104,744"
Amansie Central District,Ashanti,Jacobu,6.35,-1.666667,"95,898"
Amansie West District,Ashanti,Manso Nkwanta,6.466667,-1.883333,"141,327"
Aowin/Suaman District,Western,Enchi,5.816667,-2.816667,"134,550"
Asante Akim Central Municipal District,Ashanti,Konongo,6.616667,-1.216667,"75,701"
Asante Akim North District,Ashanti,Agogo,6.8,-1.083333,"70,657"
Asante Akim South District,Ashanti,Juaso,6.6,-1.133333,"126,164"
Ashaiman Municipal District,Greater Accra,Ashaiman,5.7,-0.033333,"203,052"
Asikuma/Odoben/Brakwa District,Central,Breman Asikuma,5.5811,-0.9944,"119,709"
Asokore Mampong Municipal District,Ashanti,Asokoro Mampong,6.7,-1.6,"323,009"
Assin North Municipal District,Central,Assin Foso,5.7023373,-1.2851472,"171,323"
Assin South District,Central,Assin Kyekyewere,,,"111,158"
