Region,Capital,area,population,latitude,longitude
Ashanti,Kumasi,"24,889","4,780,380",6.666667,-1.616667
Brong-Ahafo,Sunyani,"39,557","2,310,983",7.333333,-2.333333
Greater Accra  ,Accra,"3,245","4,010,054",5.55,-0.2
Central,Cape Coast,"9,826","2,376,021",5.12029,-1.25279
Eastern,Koforidua,"19,323","2,633,154",6.083333,-0.25
Northern,Tamale,"70,384","2,479,461",9.4075,-0.853333
Western,Sekondi-Takoradi  ,"23,921","2,376,021",4.916667,-1.766667
Upper East,Bolgatanga,"8,842","1,046,545",10.783333,-0.85
Upper West,Wa,"18,476","702,110",10.066667,-2.5
Volta,Ho,"20,570","2,118,252",6.611944,0.470278
