County,"Constituency
Code",Constituency   Name,Office Location,Most Conspicuous Landmark,"Estimated Distance From The Land
Mark To Constituency  Office",latitude,longitude
Kwale,8,Lunga Lunga,Opposite Lunga Lunga Matatu Stage On The Main Road To Tanzania,Lunga Lunga Petrol Station,,-4.552417,39.1241539
Kwale,7,Msambweni,Msambweni,Youth Office,,-4.4787477,39.4812886
Kwale,9,Matuga,Opposite Kwale County Government Office,Ministry Of Finance Office Kwale County,,-4.1756049,39.4531919
Kwale,10,Kinango,"Kinango Town,Next To Ministry Of Lands 1st Floor,At Junction Off- Kinango Ndavaya Road","Kinango Town,Next To Ministry Of Lands 1st
Floor,At Junction Off-Kinango Ndavaya Road",,-4.1382619,39.3162401
Mombasa,5,Likoni,Likoni School For The Blind,Likoni Police Station,,-4.0796081,39.6582117
Mombasa,6,Mvita,Baluchi Complex,Central Ploice Station,,-4.0617067,39.6733368
Mombasa,4,Nyali,Links Road West Bank Villa,Mamba Village,,-4.0427478,39.7001693
Mombasa,1,Changamwe,Changamwe At The Fire Station,Changamwe Fire Station,,-4.0276097,39.6284622
Mombasa,3,Kisauni,"Along Dr. Felix Mandi Avenue,Behind  The District H/Q Kisauni, Bamburi Mtamboni.",District H/Q,,-4.0015543,39.7139236
Mombasa,2,Jomvu,Mkindani At The Ap Post,Mkindani Ap Post,,-4.0014398,39.6302559
Kilifi,12,Kilifi South,Opposite Co-Operative Bank,Mtwapa Police Station,1 Km,-3.940319,39.7445067
Kilifi,14,Rabai,Rabai District Hqs,Kombeni Girls Sec School,500 M (0.5 Km),-3.9302938,39.569149
Kilifi,13,Kaloleni,Opposite St John Ack Church,St. Johns Ack Church,100m,-3.8134306,39.633048
Kilifi,11,Kilifi North,Next To County Commissioners   Office,Kilifi Bridge,500m,-3.6322387,39.8512401
Kilifi,15,Ganze,Ganze Commissioners  Sub County Office,Ganze,500m,-3.5432079,39.6921647
Taita Taveta,25,Mwatate,Levi Building Along Mwatate Wundayi Road,"Kenyatta High School, Mwatate",,-3.50136,38.3769498
Taita Taveta,24,Wundanyi,Iebc Building Next To Dos Office Wundanyi,Dos Office,,-3.4000141,38.3616469
Taita Taveta,23,Taveta,Taveta Railway Station,Taveta Railway Station Godown No.2,,-3.3950955,37.6745279
Taita Taveta,26,Voi,Scripture Mission - Voi,Coast Institute Of Technology (Cit),,-3.3829167,38.5747146
Kilifi,16,Malindi,Opposite  Malindi Law Court,Malindi Law Court,30m,-3.219181,40.1147019
Kilifi,17,Magarini,Near Mwembe Resort,Catholic Institute,300m,-3.2040291,40.1074524
Kajiado,187,Kajiado South,Ddo's Office - Loitoktok,Ddo's Office - Loitoktok,0 Km,-2.9252238,37.5100542
Makueni,88,Kibwezi East,Kambu Town  Between Mtito Andei And Machinery,Baobab Tree,500metres,-2.5948696,38.0748794
Makueni,87,Kibwezi West,Makindu Town (Lower Market),Makindu Secondary School,1km,-2.2798579,37.8203334
Tana River,18,Garsen,Garsen Behind Methodist Church,Methodist Church,100m,-2.2692934,40.1093114
Lamu,22,Lamu West,Mokowe  Cooperative Building,Police Post,100 M.,-2.2359853,40.8460966
Kitui,74,Kitui South,Ikutha Town,Deputy County Commissioner’s  Office,Same Compound,-2.0647573,38.1747865
Lamu,21,Lamu East,Faza Town,Registration Of Persons Office,100 Metres,-2.0561739,41.1108492
Makueni,84,Kilome,Salama Town (Nzai House) Along Mombasa Road,Salama Police Station,100metres,-1.8523271,37.259414
Kajiado,184,Kajiado Central,Ack Church -Kajiado,Ack Church -Kajiado Town,0 Km,-1.841999,36.7898365
Makueni,86,Makueni,Opposite Makueni Hospital,Makueni Hospital,100metres,-1.781339,37.6265117
Makueni,85,Kaiti,Mukuyuni Market Along Machakos – Wote Road,Mukuyuni Patrol Base,100metres,-1.7478021,37.461493
Kajiado,185,Kajiado East,Masaai Rural Training Centre-Isinya,Masaai Rural Training Centre-Isinya,0 Km,-1.6874397,36.8460387
Makueni,83,Mbooni,Tawa Social Hall,Tawa Police Post,20metres,-1.5486605,37.4655247
Machakos,81,Machakos Town,Along Machakos Teachers  College Road,Machakos Teachers College,50metres,-1.5084689,37.2567173
Tana River,19,Galole,Hola Town,Tana River,1 Km,-1.5003603,40.0296649
Machakos,80,Mavoko,"Athi River Town Hippo Dam House – First Floor Opposite Athi River
Market",Athi River Market,100metres,-1.4565268,36.973528
Kajiado,186,Kajiado West,St Mary's Catholic Church - Kiserian,St Mary's Catholic Church - Kiserian,0 Km,-1.4290266,36.6874778
Machakos,79,Kathiani,Dc’s Office,Dc’s Office,Same Compound,-1.4118122,37.3299766
Kitui,,Kitui East,Nzambani District Hqs.,Deputy County Commissioner’s  Office,Same Compound,-1.4097417,38.0488446
Kitui,72,Kitui Central,"Kitui Town  Along Hospital Road Opposite Kafoca Hotel  And Kitui
Law Courts",Kafoca Hotel & Kitui Law Courts,500metres,-1.367174,38.0085044
Kajiado,183,Kajiado North,D.C's Office-Ngong,D.C's Office-Ngong,0 Km,-1.3608059,36.6548103
Kitui,70,Kitui West,Matinyani Market Maendeleo Hall,Matinyani Market Centre,100metres,-1.3086389,37.9915853
