Province,area,population,Capital,latitude,longitude
Central,"13,191","4,383,743",Nyeri,-0.4218816,36.9513473
Coast,"83,603","3,325,307",Mombasa,-4.0692492,39.6749547
Eastern,"159,891","5,665,123",Embu,-0.5337904,37.4481651
Nairobi Area,684,"3,138,369",Nairobi,-1.2865649,36.8193013
North-Eastern,"126,902","2,310,757",Garissa,-0.4710356,39.644892
Nyanza,"16,162","5,442,711",Kisumu,-0.1037906,34.7528064
Rift Valley,"173,854","10,006,805",Nakuru,-0.285848,36.0638858
Western,"8,361","4,334,282",Kakamega,0.2826233,34.7514215
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
