County,Capital,latitude,longitude,population,area,created
 Bomi,Tubmanburg,6.866667,-10.816667,"82,036","1,942",1984
 Bong,Gbarnga,6.998,-9.473,"328,919","8,772",1964
 Gbarpolu,Bopolu,7.066667,-10.4875,"83,758","9,689",2001
 Grand Bassa,Buchanan,5.880833,-10.046667,"224,839","7,936",1839
 Grand Cape Mount,Robertsport,6.75,-11.366667,"129,055","5,162",1844
 Grand Gedeh,Zwedru,6.066667,-8.133333,"126,146","10,484",1964
 Grand Kru,Barclayville,4.679722,-8.233889,"57,106","3,895",1984
 Lofa,Voinjama,8.416667,-9.75,"270,114","9,982",1964
 Margibi,Kakata,6.53,-10.351667,"199,689","2,616",1985
 Maryland,Harper,4.366667,-7.716667,"136,404","2,297",1857
Montserrado,Bensonville,6.445556,-10.609722,"1,144,806","1,909",1839
 Nimba,Sanniquellie,7.362222,-8.706111,"468,088","11,551",1964
Rivercess,Rivercess,5.466667,-9.583333,"65,862","5,594",1985
 River Gee,Fish Town,5.196389,-7.875556,"67,318","5,113",2000
 Sinoe,Greenville,5.016667,-9.033333,"104,932","10,137",1843
