District,Capital,latitude,longitude,area,population
Ambalavao,Ambalavao,-21.833333,46.933333,"4,798.47","209,417"
Ambanja,Ambanja,-13.67,48.45,"5,999.72","190,435"
Ambato-Boeni,x,-16.4707532,46.7137869,"8,528.25","211,204"
Ambatofinandrahana,Ambatofinandrahana,-20.55,46.8,"10,321.48","155,470"
Ambatolampy,Ambatolampy,-19.383333,47.416667,"1,651.14","256,164"
Ambatomainty,x,-17.695381,45.664521,"4,740.44","29,420"
Ambatondrazaka,Ambatondrazaka,-17.833333,48.416667,"5,540.25","324,610"
Ambilobe,x,-13.194439,49.049956,"8,006.76","216,145"
Amboasary-Atsimo,,-25.03955,46.38581,"9,888.82","209,090"
Ambohidratrimo,x,-18.8189452,47.4400815,"1,432.36","399,037"
Ambohimahasoa,Ambohimahasoa,-21.106389,47.216111,"1,929.12","214,703"
Ambositra,Ambositra,-20.516667,47.25,"2,914.18","262,353"
Ambovombe-Androy,Ambovombe-Androy,-25.176944,46.086944,"6,504.18","349,675"
Ampanihy,x,-24.694126,44.747682,"13,837.11","310,173"
Amparafaravola,Amparafaravola,-17.583333,48.216667,"4,622.51","267,622"
Analalava,Analalava,-14.633333,47.75,"8,732.19","148,668"
Andapa,Andapa,-14.65,49.65,"4,051.48","189,882"
Andilamena,Andilamena,-17.016667,48.583333,"7,686.18","70,527"
Andramasina,x,-19.1882272,47.5903814,"1,406.41","170,124"
Anjozorobe,x,-18.3979753,47.8823575,"4,275.06","177,134"
Ankazoabo-Atsimo,,-22.2926719,44.5101013,"7,456.28","65,560"
Ankazobe,x,-18.31449,47.11491,"7,358.26","151,543"
Anosibe-An'ala,x,-19.4390135,48.2035646,"2,858.75","89,205"
Antalaha,Antalaha,-14.883333,50.27,"6,795.01","231,479"
Antanambao-Manampotsy,x,-19.48547,48.57423,"1,298.55","48,665"
Antananarivo-Atsimondrano,x,-18.9588928,47.5028888,421.97,"585,184"
Antananarivo-Avaradrano,x,,,581.88,"362,539"
Antananarivo-Renivohitra,x,-18.933333,47.516667,85.01,"1,299,080"
Antanifotsy,Antanifotsy,-19.68,47.33,"2,785.57","307,944"
Antsalova,Antsalova,-18.666667,44.616667,"6,864.38","58,341"
Antsirabe I,x,-19.871403,47.034667,132.94,"238,478"
Antsirabe II,x,,,"2,471.31","406,353"
Antsiranana I (formerly Diego-Suarez),x,-12.3,49.283333,71.9,"115,015"
Antsiranana II,x,,,"5,612.41","105,416"
