Region,Area,population,Capital,latitude,longitude
Diana,"19,266","700,021",Antsiranana,-12.3,49.283333
Sava,"25,518","980,807",Sambava,-14.266667,50.166667
Itasy,"6,993","732,834",Miarinarivo,-18.960833,46.903611
Analamanga,"16,911","3,348,794",Antananarivo-Renivohitra,-18.933333,47.516667
Vakinankaratra,"16,599","1,803,307",Antsirabe,-19.866667,47.033333
Bongolava,"16,688","457,368",Tsiroanomandidy,-18.7698,46.05
Sofia,"50,100","1,247,037",Antsohihy,-14.876225,47.98345
Boeny,"31,046","799,675",Mahajanga,-15.716667,46.316667
Betsiboka,"30,025","293,522",Maevatanana,-16.95,46.833333
Melaky,"38,852","289,594",Maintirano,-18.066667,44.02
Alaotra-Mangoro,"31,948","1,027,110",Ambatondrazaka,-17.833333,48.416667
Atsinanana,"21,934","1,270,680",Toamasina,-18.15,49.416667
Analanjirofo,"21,930","1,035,132",Fenoarivo Atsinanana,-17.366667,49.41
Amoron'i Mania,"16,141","715,027",Ambositra,-20.516667,47.25
Matsiatra Ambony,"21,080","1,199,183",Fianarantsoa,-21.453611,47.085833
Vatovavy-Fitovinany,"19,605","1,416,459",Manakara,-22.15,48
Atsimo-Atsinanana,"18,863","898,702",Farafangana,-22.816667,47.816667
Ihorombe,"26,391","312,307",Ihosy,-22.403611,46.125833
Menabe,"46,121","592,113",Morondava,-20.284722,44.3175
Atsimo-Andrefana,"66,236","1,316,756",Toliara,-23.35,43.666667
Androy,"19,317","733,933",Ambovombe-Androy,-25.176944,46.086944
Anosy,"25,731","671,805",Tôlanaro,-25.033333,46.983333
