district,population,area,capital,latitude,longitude
Alto Molocué,275155,185224,Alto Molocué,-15.64,37.69
Ancuabe,124278,87243,Ancuabe,-12.983333,39.85
Angoche,283520,228526,Angoche,-16.233333,39.916667
Angónia,303127,247999,Ulongue,-14.716667,34.366667
Balama,150481,98653,Balama,-13.348611,38.569722
Barué,139664,81002,Catandica,-18.0595642,33.1752412
Bilene-Macia,152542,133173,Macia,-25.033333,33.1
Boane,104128,56703,Boane,-26.04,32.33
Buzi,163714,143152,Buzi,-19.88,34.6
Cahora-Bassa,87784,57675,Cahora-Bassa,-15.57,32.83
Caia,118597,86001,Caia,-17.833333,35.333333
Changara,158779,119551,Changara,-16.84,33.27
Chemba,65660,49634,Chemba,-17.16,34.89
Cheringoma,34872,20795,Inhaminga,-18.4141762,35.0249888
Chibabava,104620,72273,Chibabava,-20.29,33.66
Chibuto,192927,164791,Chibuto,-24.683333,33.533333
Chicualacuala,39164,33284,Chicualacuala,-22.083333,31.683333
Chifunde,101389,48498,Chifunde,-14.7720243,32.8344686
Chigubo,20810,13405,Chigubo,-22.83,33.52
Chinde,121339,129115,Chinde,-18.583333,36.466667
Chiúre,286406,185618,Chiúre,-13.3747241,39.9674159
Chiuta,76458,50372,Chiuta,-15.546314,33.283768
Chókwè,184777,173277,Chókwè,-24.525278,33.008611
Cuamba,191642,126380,Cuamba,-14.816667,36.55
Dondo,144694,117719,Dondo,-19.616667,34.75
Funhalouro,38799,30321,Funhalouro,-23.11,34.37
Gilé,171091,126988,Gilé,-16.14,38.37
Gondola,263454,184629,Gondola,-19.09,33.65
Gorongosa,120063,77877,Gorongosa,-18.683333,34.066667
Govuro,35371,29031,Nova Mambone,-20.9879618,35.020672
Guijá,75716,57217,Guijá,-24.501476,33.0261976
Guro,69622,45680,Guro,-17.42,33.35
Gurué,301034,197179,Gurué,-15.466667,36.983333
Homoine,110495,92796,Homoine,-23.88,35.15
Ile,293054,224167,unclear,,
Inharrime,100379,76518,Inharrime,-24.476944,35.030278
Inhassoro,49426,43406,Inhassoro,-21.533333,35.2
Inhassunge,92250,87396,Inhassunge,-18.04,36.82
Jangamo,95792,81210,Jangamo,-24.11,35.32
Lago,86166,55892,Metangula,-12.7,34.816667
Lalaua,75360,55912,Lalaua,-14.39,38.27
Lichinga,98481,62802,Lichinga,-13.316667,35.233333
Lugela,136978,106770,Lugela,-16.4303526,36.7458557
Mabalane,32252,25464,Mabalane,-23.85,32.59
Mabote,45884,39661,Mabote,-22.0405813,34.1309253
Macanga,112016,46515,Furancungo,-14.9,33.62
Machanga,53291,44784,Machanga,-20.97,35.01
Machaze,104814,75804,Machaze,-20.8,33.4
Macomia,105027,69973,Macomia,-12.232715,40.141253
Macossa,27636,13969,Macossa,-17.9,33.94
Maganja da Costa,280000,229230,Maganja da Costa,-16.98,37.43
Magoe,69730,39304,Magoe,-15.8081414,31.7499791
Magude,54195,42788,Magude,-25.023056,32.648056
Majune,30807,20571,Majune,,
Malema,169079,128732,Malema,-14.948611,37.414444
Mandimba,138535,84011,Mandimba,-14.3547967,35.6514803
Manhiça,160096,130351,Manhiça,-25.39,32.83
Manica,219346,155731,Manica,-18.934444,32.875556
Manjacaze,166188,161147,Manjacaze,-24.711667,33.882778
Maravia,84007,53031,Fingoe,-15.1584877,31.8918891
Maringue,77097,56654,Maringue,-17.96,34.39
Marracuene,86177,41677,Marracuene,-25.733333,32.683333
Marromeu,120645,69895,Marromeu,-18.290833,35.945278
Marrupa,55664,40199,Marrupa,-13.2,37.5
Massangena,15878,13300,Massangena,-21.54,32.96
Massinga,191260,186650,Massinga,-23.33,35.38
Massingir,28862,22284,Massingir,-23.9,31.95
Matutuíne,37939,35161,Bela Vista,-26.34,32.67
Maúa,51256,38390,Maúa,-13.93,37.14
Mavago,20977,12381,Mavago,-12.48,36.18
Mecanhelas,162280,76311,Mecanhelas,-15.1927938,35.8672713
Meconta,158720,123097,Meconta,-14.99,39.85
Mecuburi,159488,118726,Mecuburi,-14.66,38.89
Mecufi,48976,35644,Mecufi,-13.29,40.56
Mecula,14299,10972,Mecula,-12.11,37.67
Meluco,25420,23912,Meluco,-12.54,39.64
Memba,235635,188992,Memba,-14.18,40.53
Metarica,30389,20430,Metarica,-14.33,36.8
Milange,503563,335728,Milange,-16.1,35.77
Moamba,57568,43396,Moamba,-25.6,32.24
Moatize,217609,109103,Moatize,-16.116667,33.733333
Mocimboa da Praia,137959,75001,Mocimboa da Praia,-11.35,40.333333
Mocuba,303973,214748,Mocuba,-16.85,36.983333
Mogincual,133120,92320,Mogincual,-15.57,40.41
Mogovolas,272763,182184,Nametil,-15.716481,39.3319589
Moma,318461,238655,Moma,-16.76,39.22
