Region,Population,latitude,longitude
Aïoun,"65,237",16.6602444,-9.6110564
Akjoujt,"19,639",19.7460681,-14.3865415
Aleg,"101,512",17.0526059,-13.9131292
Amourj,"94,559",16.1098,-7.2185
Aoujeft,"12,997",20.0252862,-13.0536398
Atar,"38,877",20.5144756,-13.0530054
Bababé,"37,251",16.342018,-13.9479645
Barkéol,"79,901",16.6538088,-12.4547163
Bassikounou,"88,432",15.8643905,-5.9541465
Bir Moghreïn,"3,897",25.2298934,-11.580539
Boghé,"72,242",16.5955174,-14.2598177
Boumdeïd,"7,917",17.4454,-11.3434
Boutilimit,"63,193",17.5483071,-14.697607
Chinguetti,"6,811",20.459612,-12.3650798
Djiguenni,"59,614",15.7313883,-8.6678436
F'Dérik,"4,715",22.67799,-12.7122445
Guérou,"44,870",16.8287764,-11.8378669
Kaédi,"121,726",16.1521203,-13.504764
Kankossa,"82,495",15.9271346,-11.5266233
Keur-Macène,"26,760",16.5561778,-16.2345372
Kiffa,"110,714",16.6214709,-11.4037882
Kobenni,"92,690",15.8193004,-9.4137999
Ksar,"47,233",,
Maghama,"68,465",15.5109615,-12.8512619
Magta-Lahjar,"57,672",17.5133673,-13.0976906
M'Bagne,"43,600",16.1513024,-13.7849377
M'Bout,"102,502",16.0221406,-12.5814823
Méderdra,"30,440",16.9198566,-15.6609086
Monguel,"43,224",16.4080146,-13.1382154
Moudjéria,"41,738",17.8800708,-12.3327881
Néma,"87,048",16.6155265,-7.2648312
Nouadhibou,"121,122",20.936352,-17.0387357
Ouad-Naga,"23,698",17.9607551,-15.5259212
Ouadane,"3,973",20.9327445,-11.6201754
Oualata,"13,086",17.2982287,-7.0239124
Ould Yengé,"68,341",15.5436917,-11.7160327
R'Kiz,"70,956",16.9222285,-15.2347169
Riad,"117,030",,
Rosso,"57,726",16.5123377,-15.8061859
Sebkha,"72,245",,
Sélibaby,"198,688",15.1576818,-12.183861
Tamchakett,"39,013",17.2450679,-10.6717372
Teyarett,"78,828",,
Tichitt,"4,349",18.4410572,-9.4954624
Tidjikja,"34,875",18.5558408,-11.4312202
Timbédra,"79,069",16.2421256,-8.1721722
Tintane,"97,169",16.3848612,-10.1696891
Toujounine,"144,041",,
Zouérate,"44,649",22.7331494,-12.4742413
Nouakchott,"366,912",18.088836,-15.9736885
