Region,Population,area,Capital,latitude,longitude
drar,"62,658","215,300",Atar,20.5144756,-13.0530054
Assaba,"325,897","36,600",Kiffa,16.6214709,-11.4037882
Brakna,"312,277","33,800",Aleg,17.0526059,-13.9131292
Dakhlet Nouadhibou,"123,779","22,300",Nouadhibou,20.936352,-17.0387357
Gorgol,"335,917","13,600",Kaédi,16.1521203,-13.504764
Guidimaka,"267,029","10,300",Sélibaby,15.1576818,-12.183861
Hodh ech Chargui,"430,668","182,700",Néma,16.6155265,-7.2648312
Hodh el Gharbi,"294,109","53,400",Aioun el Atrouss,16.6602444,-9.6110564
Inchiri,"19,639","46,800",Akjoujt,19.7460681,-14.3865415
Nouakchott,"366,912",306,Nouakchott,18.088836,-15.9736885
Tagant,"80,962","95,200",Tidjikdja,18.5558408,-11.4312202
Tiris Zemmour,"53,261","252,900",Zouérate,22.7331494,-12.4742413
Trarza,"272,773","67,800",Rosso,16.5123377,-15.8061859
