district,latitude,longitude,population
Balaka,-14.99,34.955,"316,748"
Blantyre,-15.786111,35.005833,"978,192"
Chikwawa,-16.166667,34.75,"438,895"
Chiradzulu,-15.7,35.183333,"290,946"
Chitipa,-9.701944,33.27,"179,072"
Dedza,-14.333333,34.333333,"623,789"
Dowa,-13.6553761,33.932938,"556,678"
Karonga,-9.933333,33.933333,"272,789"
Kasungu,-13.033333,33.483333,"616,085"
Likoma,-12.066667,34.733333,"10,445"
Lilongwe,-13.983333,33.783333,"1,897,167"
Machinga,-15.1764,35.2988,"488,996"
Mangochi,-14.466667,35.266667,"803,602"
Mchinji,-13.816667,32.9,"456,558"
Mulanje,-16.033333,35.5,"525,429"
Mwanza,-15.609722,34.5225,"94,476"
Mzimba,-11.9,33.6,"724,873"
Mzuzu,-11.46338,34.02488,"128,432"
Neno,-15.397699,34.652563,"108,897"
NkhataBay,-11.6061052,34.29633,"213,779"
Nkhotakota,-12.916667,34.3,"301,868"
Nsanje,-16.916667,35.266667,"238,089"
Ntcheu,-14.82,34.64,"474,464"
Ntchisi,-13.361005,33.918622,"224,098"
Phalombe,-15.8,35.65,"313,227"
Rumphi,-11.016667,33.866667,"169,112"
Salima,-13.783333,34.433333,"340,327"
Thyolo,-16.066667,35.133333,"587,455"
Zomba,-15.383333,35.333333,"670,533"
