Constituency,Capital,population,latitude,longitude
?Nami?Nus,Luderitz,"13,859",-26.6475034,15.1557082
Aminius,,"12,306",-23.6524773,19.3682935
Anamulenge,,"14,949",-17.4948555,15.0104222
Arandis,,"10,093",-22.4187575,14.9743918
Berseba,,"10,589",-25.9991663,17.7670719
Daures,Uis,"11,350",-21.2185895,14.8668123
Eengodi,,"15,490",-18.11046,16.81605
Eenhana,,"22,319",-17.4782401,16.3311186
Elim,,"12,199",-17.7127721,15.4871258
Endola,Endola,"25,591",-17.5971528,15.7389352
Engela,,"24,641",-17.4498222,15.8670878
Epembe,,"11,883",-17.7840127,16.4514354
Epukiro,,"6,106",-21.59782,19.415
Epupa,,"17,696",-17.43412,13.27395
Etayi,,"30,550",-17.5544667,15.5237355
Gibeon,,"6,354",-25.1231884,17.7651553
Gobabis,,"20,993",-22.4502637,18.9667973
Grootfontein,,"24,878",-19.5649354,18.1032719
Guinas,,"5,460",-18.62003,17.16866
John Pandeni,,"22,359",,
Kabbe North,,"9,559",-17.7207734,24.6313048
Kahenge,,,-17.6829101,18.664837
Kalahari,,"7,611",-22.7615334,19.2015025
Kamanjab,,"8,441",-19.6254936,14.8459778
Karasburg East,,"9,203",-28.0175486,18.7463719
Karibib,,"13,320",-21.9371604,15.8533108
Katima Mulilo Rural,,"13,285",,
Katima Mulilo Urban,,"28,362",-17.5023475,24.2769451
Katutura Central,,"26,904",,
Katutura East,,"21,564",,
Keetmanshoop Rural,,"7,219",-26.797503,19.6525195
Keetmanshoop Urban,,"19,447",-26.5800146,18.1386693
Khomasdal,,"35,832",-22.544721,17.0494389
Khorixas,,"12,566",-20.3722332,14.9614095
Kongola,,"7,366",-17.8218378,23.3980221
Linyanti,,"7,328",-18.0711279,24.0163718
Mankumpi,Satotwa,"4,464",,
Mariental Urban,,"15,254",-24.6235268,17.9601161
Mashare,,"15,688",-17.8916439,20.1679343
Moses ?Garoeb,,"41,988",,
Mpungu,,"15,018",-17.6677373,18.2311821
Mukwe,,"27,690",-18.0401561,21.4276206
Ncamagoro,,"7,043",-17.88056,19.57099
Ncuncuni,,"8,541",-18.1493927,19.7671177
Ndiyona,,"9,551",-18.0413538,20.6995535
Nehale LyaMpingana,Okoloti,"10,710",,
Ogongo,,"16,436",-17.6767148,15.2932553
Ohangwena,,"23,851",-17.4704395,15.8982158
Okahandja,,"24,451",-21.9806376,16.9122734
Okahao,,"18,734",-17.8867743,15.0656298
Okakarara,,"22,747",-20.5872281,17.45627
Okaku,,"19,007",-17.81878,15.9312
Okalongo,,"26,459",-17.4438799,15.3289102
Okankolo,,"13,204",-17.9573979,16.4198911
Okatana,,"14,801",-17.7416401,15.7091406
Okatyali,,"3,187",-18.05,15.95
Okongo,,"17,999",-17.5786366,17.2209765
Okorukambe,,"10,060",-21.824601,18.231892
Olukonda,,"9,559",-17.9844806,16.0204851
Omaruru,,"8,577",-21.4188804,15.9536698
Omatako,,"17,288",-21.97824,17.21039
Ompundja,,"4,659",-17.98928,15.69229
Omulonga,,"27,772",-17.68564,16.06637
Omundaungilo,,"10,006",-17.4272947,16.7023925
Omuntele,,"16,865",-18.241582,16.2371099
Omuthiyagwiipundi,,"26,183",-18.3605918,16.5812983
Onayena,,"15,392",-17.9495704,16.1986205
Ondangwa Rural,,"13,613",,
Ondangwa Urban,,"23,233",-17.9071132,15.9739185
Ondobe,,"22,491",-17.45385,16.1931
Onesi,,"16,613",-17.590905,14.6855098
Ongenga,,"21,705",-17.4463065,15.6710461
Ongwediva,,"34,065",-17.7778448,15.7627019
Oniipa,,"24,939",-17.9118441,16.040004
Onyaanya,,"20,902",-18.074223,16.2455585
Opuwo Urban,,"12,910",-18.0562772,13.8412397
Oranjemund,,"9,837",-28.5514617,16.4250824
Oshakati East,,"27,227",-17.7845531,15.7006493
Oshakati West,,"20,676",-17.7810913,15.6889472
Oshikango,,"24,201",-17.3985095,15.8974218
Oshikuku,,"14,699",-17.6542008,15.4683715
Otamanzi,,"13,495",-17.9945827,15.2517419
Otavi,,"12,488",-19.640848,17.3413726
Otjinene,,"7,306",-21.1385605,18.783446
Otjiwarongo,,"32,144",-20.4590523,16.6491924
Otjombinde,,"6,851",-21.8441104,20.7502885
Outapi,,"36,740",-17.5108714,14.984531
Outjo,,"12,447",-20.10833,16.1550004
Rehoboth Rural,,"7,591",,
Rehoboth Urban East,,"18,035",-23.32937,17.09063
Rehoboth Urban West,,"11,197",-23.31446,17.07988
Ruacana,,"14,857",-17.4353147,14.433062
Rundu Rural East,,"9,381",,
Rundu Rural West,,, ,
Rundu Urban,,"63,431",-17.9135408,19.7622583
Samora Machel,,"49,178",-22.51754,17.03434
Sesfontein,,"8,434",-19.1235275,13.6149574
Sibbinda,,"11,112",-17.7695784,23.8270609
Swakopmund,,"44,725",-22.67897,14.5270276
Tobias Hainyeko,,"45,912",-22.50405,17.04659
Tsandi,,"27,435",-17.7483438,14.8885584
Tsumeb,,"23,269",-19.2487356,17.7095457
Tsumkwe,,"9,907",-19.5920636,20.502501
Uukwiyu,,"12,092",-18.0145565,15.9191671
Uuvudhiya,,"4,114",,
Walvis Bay Urban,,"35,828",-22.9466942,14.5112401
Windhoek East,,"25,823",,
Windhoek Rural,,"19,143",-22.9434748,17.1973693
Windhoek West,,"53,438",,
