region,capital,population,area,latitude,longitude
Zambezi Region,Katima Mulilo,"90,596","14,785",-17.50234750,24.27694510
Erongo Region,Swakopmund,"150,809","63,539",-22.67897000,14.52702760
Hardap Region,Mariental,"79,507","109,781",-24.62352680,17.96011610
Karas Region,Keetmanshoop,"77,421","161,514",-26.58001460,18.13866930
Kavango,Rundo,"223,352",48742,-17.91354080,19.76225830
Khomas Region,Windhoek,"342,141","36,964",-22.56478000,17.08279220
Kunene Region,Opuwo,"86,856","115,260",-18.05627720,13.84123970
Ohangwena Region,Eenhana,"245,446","10,706",-17.47824010,16.33111860
Omaheke Region,Gobabis,"71,233","84,981",-22.45026370,18.96679730
Omusati Region,Outapi,"243,166","26,551",-17.51087140,14.98453100
Oshana Region,Oshakati,"176,674","8,647",-17.78400480,15.69886960
Oshikoto Region,Omuthiya,"181,973","38,685",-18.36059180,16.58129830
Otjozondjupa Region,Otjiwarongo,"143,903","105,460",-20.45905230,16.64919240
