department,region,capital,latitude,longitude,population,area
Aguie,Maradi,Aguie,13.5039718,7.7770447,"374,227","3,001"
Arlit,Agadez,Arlit,18.74069,7.3907192,"148,737","216,774"
Bilma,Agadez,Bilma,18.69065,12.9177617,"25,878","296,279"
Bkonni,Tahoua,Bkonni,13.7992122,5.2495911,"489,351","5,317"
Boboye,Dosso,Birni N'Gaouré,13.0817353,2.9067127,"361,842","4,794"
Bouza,Tahoua,Bouza,14.4232216,6.0381909,"374,290","3,777"
Dakoro,Maradi,Dakoro,14.5114625,6.7672716,"588,051","17,670"
Diffa,Diffa,Diffa,13.3172529,12.6122481,"202,423","7,563"
Dogondoutchi,Dosso,Dogondoutchi,13.642021,4.0280001,"662,051","11,936"
Dosso,Dosso,Dosso,13.0450594,3.1951116,"474,019","8,587"
Filingue,Tillaberi,Filingue,14.3500908,3.3232959,"537,715","26,217"
Gaya,Dosso,Gaya,11.8863875,3.4524714,"339,418","4,446"
Goure,Zinder,Goure,13.9875805,10.2680091,"308,753","95,182"
Guidan Roumdji,Maradi,Guidan Roumdji,13.6628328,6.6993122,"470,687","4,929"
Illela,Tahoua,Illela,14.4597403,5.2494949,"355,493","6,933"
Keita,Tahoua,Keita,14.7571943,5.7737547,"334,681","2,381"
Kollo,Tillaberi,Kollo,13.3384117,2.3155943,"294,192","5,297"
Loga,Dosso,Loga,13.6140554,3.2335279,"431,017","10,002"
Madaoua,Tahoua,Madaoua,14.0735912,5.9570566,"179,360","4,081"
Madarounfa,Maradi,Madarounfa,13.3029173,7.1605255,"430,332","4,856"
Magaria,Zinder,Magaria,13.0026738,8.911383,"593,803","3,773"
Maine-soroa,Diffa,Maine-soroa,13.2159654,12.0287347,"674,633","8,434"
Matameye,Zinder,Matameye,13.4245248,8.4805711,"195,928","16,338"
Mayahi,Maradi,Mayahi,13.9502186,7.6705697,"529,876","6,952"
Mirriah,Zinder,Mirriah,13.7136547,9.1593974,"1,046,337","14,334"
N'guigmi,Diffa,N'guigmi,14.2551257,13.1120731,"75,212","133,005"
Niamey,Niamey,Niamey,13.5140068,2.1094657,"1,222,066",239
Ouallam,Tillaberi,Ouallam,14.3159578,2.084162,"372,943","22,093"
Say,Tillaberi,Say,13.1018137,2.3615461,"307,622","14,430"
Tahoua,Tahoua,Tahoua,14.8911947,5.270092,"485,064","9,743"
Tanout,Zinder,Tanout,14.9740484,8.8772518,"460,064","35,447"
Tchin-Tabaraden,Tahoua,Tchin-Tabaraden,15.8982644,5.8037275,"120,536","77,448"
Tchirozerine,Agadez,Tchirozerine,17.2645071,7.8297536,"312,698","154,746"
Tera,Tillaberi,Tera,14.0057829,0.752938,"563,506","15,794"
Tessaoua,Maradi,Tessaoua,13.7537757,7.9898837,"464,525","5,471"
Tillaberi,Tillaberi,Tillaberi,14.2020062,1.4549926,"287,651","8,715"
