department,region,capital,latitude,longitude
Arlit,Agadez,Arlit,18.74069,7.3907192
Bilma,Agadez,Bilma,18.69065,12.9177617
Tchirozerine,Agadez,Tchirozerine,17.2645071,7.8297536
Diffa,Diffa,Diffa,13.3172529,12.6122481
Maine-soroa,Diffa,Maine-soroa,13.2159654,12.0287347
N'guigmi,Diffa,N'guigmi,14.2551257,13.1120731
Boboye,Dosso,Birni N'Gaouré,13.0817353,2.9067127
Dogondoutchi,Dosso,Dogondoutchi,13.642021,4.0280001
Dosso,Dosso,Dosso,13.0450594,3.1951116
Gaya,Dosso,Gaya,11.8863875,3.4524714
Loga,Dosso,Loga,13.6140554,3.2335279
Aguie,Maradi,Aguie,13.5039718,7.7770447
Dakoro,Maradi,Dakoro,14.5114625,6.7672716
Guidan Roumdji,Maradi,Guidan Roumdji,13.6628328,6.6993122
Madarounfa,Maradi,Madarounfa,13.3029173,7.1605255
Mayahi,Maradi,Mayahi,13.9502186,7.6705697
Tessaoua,Maradi,Tessaoua,13.7537757,7.9898837
Abalak,Tahoua,Abalak,15.4615116,6.2829835
Bkonni,Tahoua,Bkonni,13.7992122,5.2495911
Bouza,Tahoua,Bouza,14.4232216,6.0381909
Illela,Tahoua,Illela,14.4597403,5.2494949
Keita,Tahoua,Keita,14.7571943,5.7737547
Madaoua,Tahoua,Madaoua,14.0735912,5.9570566
Tahoua,Tahoua,Tahoua,14.8911947,5.270092
Tchin-Tabaraden,Tahoua,Tchin-Tabaraden,15.8982644,5.8037275
Filingue,Tillaberi,Filingue,14.3500908,3.3232959
Kollo,Tillaberi,Kollo,13.3384117,2.3155943
Ouallam,Tillaberi,Ouallam,14.3159578,2.084162
Say,Tillaberi,Say,13.1018137,2.3615461
Tera,Tillaberi,Tera,14.0057829,0.752938
Tillaberi,Tillaberi,Tillaberi,14.2020062,1.4549926
Goure,Zinder,Goure,13.9875805,10.2680091
Magaria,Zinder,Magaria,13.0026738,8.911383
Matameye,Zinder,Matameye,13.4245248,8.4805711
Mirriah,Zinder,Mirriah,13.7136547,9.1593974
Tanout,Zinder,Tanout,14.9740484,8.8772518
Niamey,Niamey,Niamey,13.5140068,2.1094657
Aderbissanat,Agadez,Aderbissanat,15.6185531,7.8924175
Iférouane,Agadez,Iférouane,19.0665655,8.4168946
Ingall,Agadez,Ingall,16.7859347,6.931894
Bosso,Diffa,Bosso,13.7005264,13.3098707
Goudoumaria,Diffa,Goudoumaria,13.7109419,11.1849565
N'Gourti,Diffa,N'Gourti,15.3285737,13.197009
Dioundiou,Dosso,Dioundiou,12.6183048,3.5425702
Falmèye,Dosso,Falmèye,12.5942622,2.8503686
Tibiri,Dosso,Tibiri,13.1117473,4.0011681
Bermo,Maradi,Bermo,,
Gazaoua,Maradi,Gazaoua,13.5246222,7.9100956
Bagaroua,Tahoua,Bagaroua,14.6403204,4.3468829
Tassara,Tahoua,Tassara,16.8090287,5.6461356
Tillia,Tahoua,Tillia,16.1371355,4.7912781
Abala,Tillaberi,Abala,14.9301248,3.4290697
Ayérou,Tillaberi,Ayérou,14.7328777,0.9186685
Bankilaré,Tillaberi,Bankilaré,14.5819749,0.7238284
Banibangou,Tillaberi,Banibangou,15.0436748,2.7015201
Gothèye,Tillaberi,Gothèye,13.8557042,1.5660469
Torodi,Tillaberi,Torodi,13.116667,1.8
Belbédji,Zinder,Belbédji,14.6802737,7.9959432
Damagaram Takaya,Zinder,Damagaram Takaya,14.1375189,9.4803901
Dungass,Zinder,Dungass,13.0631527,9.3400985
Takiéta,Zinder,Takiéta,13.6800981,8.5305753
Malbaza,Tahoua,Malbaza,13.9547469,5.5132853
Tagazar,Tillaberi,Tagazar,13.7833956,2.950671
Tasker,Zinder,Tasker,15.1154277,10.6944624
