capital,state,lga,latitude,longitude
Aba,Abia,Aba South,5.106576,7.366667
 Eziama Urata,Abia,Aba North,5.1282668,7.3647141
Abadam,Borno,Abadam,13.616902,13.264381
Abaji,Federal Capital Territory,Abaji,8.466667,6.95
Abak,Akwa lbom,Abak,4.9797,7.791708
Abakaliki,Ebonyi,Abakaliki,6.316249,8.116908
Abeokuta,Ogun,Abeokuta South,7.15,3.35
xx,Ogun,Abeokuta North,7.1870242,3.3369517
Abua,Rivers,Abua/Odual,4.856778,6.644169
Ogaminana,Kogi,Adavi,7.6004,6.2014
Igumale,Benue,Ado,6.7918,7.985
Ado-Ekiti,Ekiti,Ado Ekiti,7.621001,5.221495
Ado Odo,Ogun,Ado-Odo/Ota,6.6,2.933333
Jobele,Oyo,Afijio,7.766667,3.916667
Afikpo,Ebonyi,Afikpo North,5.893121,7.937353
Edda,Ebonyi,Afikpo South,5.935478,7.856355
Agaie,Niger,Agaie,9.016667,6.316667
Obangedde,Benue,Agatu,7.828,7.8141
Agege,Lagos,Agege,6.614259,3.324371
Ekwulobia,Anambra,Aguata,6.0238,7.0862
Agwarra,Niger,Agwara,10.704112,4.582222
Oru,Imo,Ahiazu-Mbaise,5.53414,7.267071
Ahoada,Rivers,Ahoada East,5.073951,6.653529
Akinima,Rivers,Ahoada West,5.085797,6.470887
Gbongan,Osun,Aiyedade,7.466667,4.35
Ile Igbo,Osun,Aiyedire,7.616667,4.25
Ajaokuta,Kogi,Ajaokuta,7.4605,6.6947
Ajingi,Kano,Ajingi,11.967022,9.0368
Akankpa,Cross River,Akamkpa,5.31278,8.355357
Moniya,Oyo,Akinyele,7.528333,3.911944
Kumo,Gombe,Akko,10.044687,11.21217
Ikare,Ondo,Akoko North East,7.516667,5.75
Oke Agbe,Ondo,Akoko North West,7.644835,5.761518
Isua,Ondo,Akoko South East,7.4378,5.8987
Oka,Ondo,Akoko South West,7.4570149,5.8012808
Igarra,Edo,Akoko-Edo,7.2827,6.0878
Ikot Nakanda,Cross River,Akpabuyo,4.878475,8.486148
Abonnema,Rivers,Akuku Toru,,
Iju,Ondo,Akure North,7.393848,5.263265
Akure,Ondo,Akure South,7.25256,5.193118
Akwanga,Nasarawa,Akwanga,8.916667,8.383333
Albasu,Kano,Albasu,11.675187,9.138668
Aliero,Kebbi,Aleiro,12.287684,4.47122
Alimosho,Lagos,Alimosho,6.610833,3.296111
Alkaleri,Bauchi,Alkaleri,10.266055,10.335287
Amuwo,Lagos,Amuwo-Odofin,6.469861,3.295815
Aguleri,Anambra,Anambra East,6.322409,6.890214
Nzam,Anambra,Anambra West,6.454111,6.729249
Agulu,Anambra,Anaocha,6.11,7.0724
Ngo,Rivers,Andoni,4.483279,7.414591
Ndeaboh,Enugu,Aninri,6.042548,7.582072
Issele-Uku,Delta,Aniocha North,6.315172,6.474054
Ogwashi-Uku,Delta,Aniocha South,6.178178,6.524293
Anka,Zamfara,Anka,12.113814,5.924273
Ankpa,Kogi,Ankpa,7.370575,7.6253
Okpogu,Benue,Apa,7.639256,7.942691
Apapa,Lagos,Apapa,6.445556,3.359167
Argungu,Kebbi,Argungu,12.743336,4.526872
Arochukwu,Abia,Arochukwu,5.389791,7.914043
Afon,Kwara,Asa,8.316667,4.533333
Askira,Borno,Askira/Uba,10.646971,12.911043
Iperindo,Osun,Atakumosa East,7.5,4.816667
Osu,Osun,Atakumosa West,7.583333,4.616667
Ofe,Oyo,Atiba,8.133333,3.916667
Tede,Oyo,Atigbo,8.55,3.45
Augie,Kebbi,Augie,12.887882,4.599805
Hadejia,Jigawa,Hadejia,12.4498,10.0444
Auyo,Jigawa,Auyo,12.358146,9.968092
Awe,Nasarawa,Awe,8.1,9.133333
Awgu,Enugu,Awgu,6.0742,7.4786
Achalla,Anambra,Awka North,6.334484,6.989788
Akwa,Anambra,Awka South,6.210095,7.074115
Omo,Anambra,Ayamelum,6.519858,6.964936
Babura,Jigawa,Babura,12.773048,9.015827
Badagri,Lagos,Badagry,6.416667,2.883333
Gashua,Yobe,Bade,12.871,11.0482
Bagudo,Kebbi,Bagudo,11.403288,4.229585
Bagwai,Kano,Bagwai,12.157704,8.1358
Bakori,Katsina,Bakori,11.55445,7.424251
Bakura,Zamfara,Bakura,12.710459,5.874872
Balanga,Gombe,Balanga,10.016667,11.55
Bali,Taraba,Bali,7.866667,10.966667
