state,capital,latitude,longitude,population,area
Abia State,Umuahia,5.522987,7.4963257,"2,833,999","4,857"
Adamawa State,Yola,9.23,12.46,"3,168,101","37,957"
Akwa Ibom State,Uyo,5.033333,7.916667,"3,920,208","6,788"
Anambra State,Awka,6.206944,7.067778,"4,182,032","4,761"
Bauchi State,Bauchi,10.315833,9.844167,"4,676,465","48,197"
Bayelsa State,Yenagoa,4.934786,6.270938,"1,703,358","9,363"
Benue State,Makurdi,7.730556,8.536111,"4,219,244","30,755"
Borno State,Maiduguri,11.833333,13.15,"4,151,193","72,767"
Cross River State,Calabar,4.95,8.325,"2,888,966","22,112"
Delta State,Asaba,6.197842,6.728467,"4,098,391","17,095"
Ebonyi State,Abakaliki,6.333333,8.1,"2,173,501","6,342"
Edo State,Benin City,6.333333,5.622222,"3,218,332","19,584"
Ekiti State,Ado-Ekiti,7.621111,5.221389,"2,384,212","5,797"
Enugu State,Enugu,6.452667,7.510333,"3,257,298","7,560"
Federal Capital Territory,Abuja,9.066667,7.483333,"1,405,201","7,569"
Gombe State,Gombe,10.283333,11.166667,"2,353,879","17,428"
Imo State,Owerri,5.485,7.035,"3,934,899","5,135"
Jigawa State,Dutse,11.701111,9.341944,"4,348,649","23,415"
Kaduna State,Kaduna,10.523056,7.440278,"6,066,562","44,217"
Kano State,Kano,12,8.516667,"9,383,682","20,389"
Katsina State,Katsina,12.983333,7.6,"5,792,578","23,822"
Kebbi State,Birnin Kebbi,12.453611,4.200278,"3,238,628","36,320"
Kogi State,Lokoja,7.79989,6.732075,"3,278,487","29,063"
Kwara State,Ilorin,8.5,4.55,"2,371,089","33,792"
Lagos State,Ikeja,6.6,3.35,"9,013,534","3,475"
Nasarawa State,Lafia,8.496126,8.516524,"1,863,275","26,633"
Niger State,Minna,9.613889,6.556944,"3,950,249","72,065"
Ogun State,Abeokuta,7.160833,3.348333,"3,728,098","16,850"
Ondo State,Akure,7.25,5.195,"3,441,024","15,019"
Osun State,Oshogbo,7.766667,4.566667,"3,423,535","8,585"
Oyo State,Ibadan,7.396389,3.916667,"5,591,589","27,036"
Plateau State,Jos,9.933333,8.883333,"3,178,712","26,539"
Rivers State,Port Harcourt,4.824167,7.033611,"5,185,400","10,361"
Sokoto State,Sokoto,13.066667,5.233333,"3,696,999","32,146"
Taraba State,Jalingo,8.9,11.366667,"2,300,736","59,180"
Yobe State,Damaturu,11.744444,11.961111,"2,321,591","44,880"
Zamfara State,Gusau,12.171695,6.668293,"3,259,846","33,667"
