Region,Capital,latitude,longitude,population,area
Dakar,Dakar,14.692778,-17.446667,"2,411,528",550
Ziguinchor,Ziguinchor,12.583333,-16.266667,"557,606","7,339"
Diourbel,Diourbel,14.666667,-16.25,"930,008","4,359"
Saint-Louis,Saint-Louis,16.033333,-16.5,"571,885","19,044"
Tambacounda,Tambacounda,13.768889,-13.667222,"530,332","59,602"
Kaolack,Kaolack  ,14.183333,-16.25,"1,128,128","16,010"
Thiès,Thiès,14.783333,-16.916667,"1,348,637","6,601"
Louga,Louga,15.616667,-16.216667,"559,268","29,188"
Fatick,Fatick,14.333333,-16.406944,"639,075","7,935"
Kolda,Kolda,12.883333,-14.95,"834,753","21,011"
Matam,Matam,15.616667,-13.333333,"291,555","25,083"
