Region,Capital,area,population,latitude,longitude
Dakar,Dakar,547,3137196,14.692778,-17.446667
Ziguinchor,Ziguinchor,7352,549151,12.583333,-16.266667
Diourbel,Diourbel,4824,1497455,14.666667,-16.25
Saint-Louis,Saint-Louis,19241,908942,16.033333,-16.5
Tambacounda,Tambacounda,42364,681310,13.768889,-13.667222
Kaolack,Kaolack  ,5357,960875,14.183333,-16.25
Thiès,Thiès,6670,1788864,14.783333,-16.916667
Louga,Louga,24889,874193,15.616667,-16.216667
Fatick,Fatick,6849,835352,14.333333,-16.406944
Kolda,Kolda,13771,714392,12.883333,-14.95
Matam,Matam,29445,562539,15.616667,-13.333333
Kaffrine,Kaffrine,11262,566992,14.116667,-15.7
Kédougou,Kédougou,16800,152357,12.55,-12.183333
Sédhiou,Sédhiou,7341,452944,12.7,-15.55
