District,Note,latitude,longitude
Nyasa,Mbamba Bay,-11.2902816,34.8035286
Nanyumbu,,-11.1451384,38.4927154
Tunduru,,-11.0423257,37.3317314
Mbinga,,-10.94789,34.9973089
Newala,,-10.9434666,39.276075
Tandahimba,,-10.7658766,39.6291541
Masasi Township Authority,,-10.7347705,38.8042419
Songea Urban,,-10.6737652,35.6499036
Namtumbo,,-10.4669466,36.1294158
Nachingwea,,-10.3693552,38.7616813
Mtwara Urban,,-10.2730999,40.1832695
Ludewa,,-10.1008626,34.6811949
Ruangwa,,-10.0664306,38.9266897
Lindi Urban,,-9.996358,39.7077824
Liwale,,-9.8036807,37.9217939
Kyela,,-9.5963448,33.8630514
Ileje,Itumba,-9.4031556,33.187718
Njombe Urban,,-9.3342758,34.7685316
Tunduma,,-9.3084931,32.7710035
Makete,,-9.256631,34.0911093
Rungwe,,-9.1717195,33.5376085
Mbozi,,-9.1118772,32.9300178
Mbeya Urban,,-8.9129333,33.4755889
Wanging'ombe,,-8.852749,34.6320669
Makambako Township Authority,,-8.8502523,34.8239861
Momba,Chitete,-8.8066,32.5036
Kilwa,Kivinje Singino,-8.7491,39.41313
Mbarali,Rujewa,-8.7038374,34.3769412
Ulanga,,-8.6814642,36.7148485
Chunya,,-8.5540043,33.4391527
Mufindi,,-8.3014759,35.2972029
Kalambo,,-8.1688826,31.3520858
Rufiji,Utete,-7.9921194,38.7577992
Sumbawanga Urban,,-7.9591633,31.6133404
Mafia,,-7.9177899,39.6660768
Iringa Urban,,-7.7810688,35.6956163
Kilombero,,-7.6896548,37.0009447
Kilolo,Ilula,-7.6809509,36.0369798
Nkasi,,-7.5076534,31.0430318
Mkuranga,Mkuranga,-7.1194386,39.2012168
Kisarawe,,-6.9092296,39.0691448
Temeke,,-6.8521521,39.268676
Kilosa,,-6.8303247,36.988856
Ilala,,-6.8289567,39.2614974
Morogoro Urban,,-6.8265297,37.667134
Kinondoni,,-6.806344,39.256868
Kibaha Urban,,-6.7831754,38.9901308
Mlele,Inyonga,-6.7249717,32.0565126
Bagamoyo,,-6.4488832,38.9123425
Kusini,,-6.4133065,39.5536877
Mpwapwa,,-6.3503854,36.4878368
Mpanda Urban,,-6.3474506,31.0687693
Mvomero,Wami,-6.3080879,37.4390618
Kongwa,,-6.1978683,36.4148682
Dodoma Urban,,-6.1864377,35.7449619
Magharibi,Mwanakwerekwe,-6.1732227,39.2309996
Mjini,Zanzibar,-6.1673021,39.2056319
Gairo,,-6.1411815,36.8727587
Kati,Koani,-6.1304888,39.3024862
Chamwino,,-6.0974866,36.0374016
Bahi,,-5.952778,35.311944
Kaskazini B,Donge Mbiji,-5.9300303,39.2543077
Kaskazini A,Mkokotoni,-5.8779143,39.2552642
Manyoni,,-5.7481635,34.8319053
Kilindi,Kilindi,-5.6334732,37.6007227
Sikonge,,-5.6192818,32.7507049
Handeni Township Authority,,-5.4328423,38.0235009
Pangani,,-5.4248247,38.9753043
Mkoani,,-5.3602117,39.6484354
Kiteto,Kibaya,-5.3154487,36.5621683
Chake Chake,,-5.2479278,39.7720638
Chemba,,-5.242778,35.89
Muheza,,-5.1748119,38.7904095
Korogwe Township Authority,,-5.1608758,38.4550729
Ikungi,,-5.1357581,34.7712604
Uvinza,,-5.1052144,30.3852049
Tanga,,-5.074923,39.1007053
Urambo,,-5.072909,32.069676
Wete,,-5.0579587,39.7230411
Kaliua,,-5.0576325,31.7949662
Tabora Urban,,-5.0323997,32.8173621
Micheweni,Micheweni,-4.9828117,39.8331878
Kondoa,,-4.9080629,35.7888704
Kigoma Municipal-Ujiji,,-4.8796801,29.6312317
Singida Urban,,-4.8159687,34.7465639
Lushoto,,-4.7895485,38.2895329
Kasulu Township Authority,,-4.5630619,30.0953343
Hanang,,-4.5170992,35.387335
Simanjiro,Orkesumet,-4.4624585,37.2047984
Buhigwe,Buhigwe,-4.4506242,29.922453
Iramba,,-4.3586408,34.1954139
Mkalama,Nduguti,-4.3047203,34.6992579
Igunga,,-4.2845678,33.8778987
Nzega,,-4.2165092,33.1859743
Babati Urban,,-4.2127722,35.7480579
Same,,-4.0683297,37.7378492
Mbulu,,-3.8562367,35.5440476
Kahama,,-3.8287404,32.6015159
Shinyanga Urban,,-3.6700132,33.4223678
Mwanga,,-3.6590249,37.5856582
Kishapu,,-3.6127703,33.8685176
Kibondo,,-3.5855577,30.7175856
Meatu,,-3.5281579,34.3115428
Bukombe,,-3.4948862,31.9859684
Arusha Urban,,-3.3634447,36.7086029
Moshi Municipal,,-3.3419972,37.3479205
Karatu,,-3.3401028,35.6736259
Hai,,-3.3328744,37.1406998
Monduli,,-3.3010778,36.446481
Kakonko,,-3.2811573,30.9652392
Nyang'wale,Kharumwa,-3.2019347,32.6506744
Maswa,,-3.1819551,33.7784888
Rombo,Tarakea Motamburu,-3.0019726,37.5651663
Kwimba,,-2.9640521,33.3417893
Itilima,Lagangabilili,-2.9585691,34.135332
Geita,,-2.8797135,32.2298303
Misungwi,,-2.8407246,33.0850949
Bariadi,,-2.8057253,33.984971
Longido,,-2.7335963,36.6973425
