District,Capital,area,population,latitude,longitude,
Joe Gqabi District Municipality,Barkly East,"25,663","349,768",-30.968056,27.593333,X
Central Karoo District Municipality,Beaufort West,"38,854","71,011",-32.35671,22.58295,
Mangaung Metropolitan Municipality,Bloemfontein,"6,284","747,431",-29.12107,26.214,
Overberg District Municipality,Bredasdorp,"11,405","258,176",-34.53215,20.04031,
City of Cape Town Metropolitan Municipality,Cape Town,"2,460","3,740,026",-33.92584,18.42322,
Pixley ka Seme District Municipality,De Aar,"102,727","186,351",-30.64966,24.01229,
uMzinyathi District Municipality,Dundee,"8,589","510,838",-28.16678,30.23371,
eThekwini Metropolitan Municipality,Durban,"2,292","3,442,361",-29.8579,31.0292,
Amathole District Municipality,East London,"21,043","892,637",-33.01105,27.91005,
Gert Sibande District Municipality,Ermelo,"31,841","1,043,194",-26.53333,29.98333,
Eden District Municipality,George,"23,331","574,265",-33.963,22.46173,
Ekurhuleni Metropolitan Municipality,Germiston,"1,924","3,178,470",-26.23481,28.17665,
Mopani District Municipality,Giyani,"24,489","1,092,507",-23.30246,30.71868,
Sekhukhune District Municipality,Groblersdal,"13,426","1,076,840",-25.16843,29.39412,
Harry Gwala District Municipality,Ixopo,"11,127","461,419",-30.15,30.08333,
City of Johannesburg Metropolitan Municipality,Johannesburg,"1,645","4,434,827",-26.20517,28.04981,
Frances Baard District Municipality,Kimberley,"13,518","382,086",-28.73226,24.76232,
Dr Kenneth Kaunda District Municipality,Klerksdorp,"14,642","695,933",-26.85213,26.66672,
John Taolo Gaetsewe District Municipality,Kuruman,"27,283","224,799",-27.4524,23.43246,
iLembe District Municipality,KwaDukuza,"3,269","606,809",-29.333333,31.291667,
uThukela District Municipality,Ladysmith,"11,326","668,848",-28.559722,29.780556,
Ngaka Modiri Molema District Municipality,Mafikeng,"27,889","842,699",-25.85,25.633333,X
Nkangala District Municipality,Middelburg,"16,758","1,308,129",-25.768417,29.478333,
uMkhanyakude District Municipality,Mkuze,"12,821","625,846",-27.616667,32.033333,x
Waterberg District Municipality,Modimolle,"49,504","679,336",-24.7,28.406111,
West Coast District Municipality,Moorreesburg,"31,104","391,766",-33.15,18.666667,x
Alfred Nzo District Municipality,Mount Ayliff,"6,859","801,344",-30.809167,29.366944,x
OR Tambo District Municipality,Mthatha,"15,968","1,364,943",-31.566667,28.766667,
Ehlanzeni District Municipality,Nelspruit,"27,896","1,688,615",-25.47448,30.97033,
Amajuba District Municipality,Newcastle,"6,911","499,839",-27.75796,29.9318,
Thabo Mofutsanyana District Municipality,Phuthaditjhaba,"32,637","736,238",-28.52423,28.81582,
uMgungundlovu District Municipality,Pietermaritzburg,"8,934","1,017,763",-29.61679,30.39278,
Capricorn District Municipality,Polokwane,"16,988","1,261,463",-23.90449,29.46885,
Nelson Mandela Bay Metropolitan Municipality,Port Elizabeth,"1,959","1,152,115",-33.91799,25.57007,
Ugu District Municipality,Port Shepstone,"5,047","722,484",-30.74137,30.45499,
City of Tshwane Metropolitan Municipality,Pretoria,"6,345","2,921,488",-25.70694,28.22944,
Chris Hani District Municipality,Queenstown,"36,695","795,461",-31.89756,26.87533,
West Rand District Municipality,Randfontein,"4,087","820,995",-26.17843,27.69027,
uThungulu District Municipality,Richards Bay,"8,213","907,519",-28.77542,32.054,
Bojanala Platinum District Municipality,Rustenburg,"18,333","1,507,505",-25.666667,27.25,
Fezile Dabi District Municipality,Sasolburg,"21,301","488,036",-26.81593,27.82971,
Namakwa District Municipality,Springbok,"126,836","115,842",-29.666667,17.883333,
Vhembe District Municipality,Thohoyandou,"21,349","1,294,722",-22.94564,30.48497,
Xhariep District Municipality,Trompsburg,"37,674","146,259",-30.03363,25.78041,
Zululand District Municipality,Ulundi,"14,799","803,575",-28.33523,31.41617,
ZF Mgcawu District Municipality,Upington,"102,524","236,783",-28.44776,21.25612,
Sedibeng District Municipality,Vereeniging,"4,177","916,484",-26.673611,27.931944,x
Dr Ruth Segomotsi Mompati District Municipality,Vryburg,"44,017","463,815",-26.95659,24.7284,
Lejweleputswa District Municipality,Welkom,"31,930","627,626",-27.983056,26.720833,
Cape Winelands District Municipality,Worcester,"22,309","787,490",-33.645,19.443611,
