district,latitude,longitude,population
Livingstone,-17.8537089,25.8540966,"103,288"
Kazungula,-17.759955,25.2936386,"68,265"
Sesheke,-17.4762772,24.2956564,"78,169"
Sinazongwe,-17.2621923,27.4615687,"80,455"
Kalomo,-17.0286529,26.4858446,"169,503"
Choma,-16.8079432,26.9877863,"204,898"
Siavonga,-16.5343883,28.7132854,"58,864"
Gwembe,-16.516014,27.64036,"34,133"
Shangombo,-16.320628,22.1100736,"70,049"
Monze,-16.2775371,27.4764317,"163,578"
Senanga,-16.1133182,23.2953138,"109,119"
Mazabuka,-15.858839,27.7541637,"203,219"
Kafue,-15.7605412,28.1780321,"150,217"
Namwala,-15.7521,26.4376,"82,810"
Itezhi-Tezhi,-15.7388826,26.0398645,"43,111"
Luangwa,-15.6228909,30.3990708,"18,948"
Lusaka,-15.4210255,28.3009804,"1,084,703"
Chongwe,-15.3266708,28.6793577,"137,461"
Mongu,-15.2696662,23.1336509,"162,002"
Kalabo,-14.9928101,22.6778033,"114,806"
Mumbwa,-14.9895753,27.0609264,"158,861"
Kaoma,-14.8133664,24.8034298,"162,568"
Chibombo,-14.66,28.077,"241,612"
Nyimba,-14.5580151,30.8184468,"70,425"
Kabwe,-14.4429333,28.4439646,"176,758"
Lukulu,-14.3890504,23.2460793,"68,375"
Petauke,-14.2498045,31.3257292,"235,879"
Chadiza,-14.0645405,32.4352421,"83,981"
Katete,-14.0564218,32.0443334,"189,250"
Kapiri Mposhi,-13.9701414,28.6785002,"194,752"
Chipata,-13.6366207,32.6424367,"367,539"
Mkushi,-13.6235462,29.3946114,"107,438"
Kabompo,-13.5941405,24.200696,"71,238"
Zambezi,-13.5440281,23.109669,"64,963"
Mpongwe,-13.5116454,28.1560883,"64,371"
Kasempa,-13.4567631,25.8330463,"51,904"
Masaiti,-13.2528,28.4786,"95,581"
Serenje,-13.2312742,30.2353478,"132,836"
Mambwe,-13.2064403,31.9182901,"47,376"
Luanshya,-13.1387013,28.4184901,"147,908"
Mufumbwe,-13.1383904,25.0066619,"44,002"
Chavuma,-13.0828417,22.6878593,"29,941"
Ndola,-12.9709639,28.6414726,"374,757"
Lufwanyama,-12.8593133,27.6145882,"63,185"
Kalulushi,-12.842,28.07,"75,806"
Kitwe,-12.8247333,28.2205109,"376,124"
Chingola,-12.549212,27.8626601,"172,026"
Mufulira,-12.5484794,28.2442922,"143,930"
Milenge,-12.4032263,29.4980016,"28,790"
Chililabombwe,-12.3658118,27.8341677,"67,533"
Lundazi,-12.2906411,33.1765714,"236,833"
Solwezi,-12.1831683,26.4041299,"203,797"
Mpika,-11.8377294,31.4515746,"146,196"
Mwinilunga,-11.7382581,24.4296334,"117,505"
Samfya,-11.3694695,29.5533629,"163,609"
Chama,-11.216667,33.15,"74,890"
Mansa,-11.1978494,28.8882977,"179,749"
Chilubi,-11.1490116,29.9154171,"66,338"
Chinsali,-10.5451551,32.0792725,"128,646"
Mwense,-10.3846894,28.6974846,"105,759"
Luwingu,-10.2500013,29.9174209,"80,758"
Kasama,-10.2269973,31.1860046,"170,929"
Mungwi,-10.1720706,31.358807,"112,977"
Isoka,-10.1548454,32.6349925,"99,319"
Kawambwa,-9.7953606,29.078294,"102,503"
Mporokoso,-9.3691409,30.1216952,"73,929"
Nchelenge,-9.34649,28.7362374,"111,119"
Nakonde,-9.3325643,32.7530295,"75,135"
Mbala,-8.861,31.425,"149,634"
Mpulungu,-8.7650493,31.1167291,"67,602"
Chienge,-8.664474,29.1598408,"83,824"
Kaputa,-8.4758342,29.6623042,"87,233"
