Region,Skat,latitude,longitude,area,population
Bulawayo,Bulawayo,-20.17,28.58,845,"1,200,337"
Harare,Harare,-17.863889,31.029722,961,"2,123,132"
Manicaland,Mutare,-18.966667,32.633333,"36,459","1,752,698"
Mashonaland Central,Bindura,-17.3,31.333333,"28,347","1,152,520"
Mashonaland East,Marondera,-18.189722,31.546667,"32,230","1,344,955"
Mashonaland West,Chinhoyi,-17.35,30.2,"57,441","1,501,656"
Masvingo,Masvingo city,-20.074444,30.832778,"56,566","1,485,090"
Matabeleland North,Lupane,-18.931503,27.763308,"75,025","749,017"
Matabeleland South,Gwanda,-20.945,29.025,"54,172","683,893"
Midlands,Gweru,-19.461389,29.802222,"49,166","1,614,941"
